time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
293.00,8781.21,9305.45,0.00,2.507,0.00,50.0
294.00,8781.21,9307.96,0.00,2.506,0.00,50.0
295.00,8781.21,9310.47,0.00,2.506,0.00,50.0
296.00,8781.21,9312.97,0.00,2.506,0.00,50.0
297.00,8781.21,9315.48,0.00,2.506,0.00,50.0
298.00,8781.21,9317.98,0.00,2.506,0.00,50.0
299.00,8781.21,9320.49,0.00,2.506,0.00,50.0
300.00,8781.21,9323.00,0.00,2.506,0.00,50.0
301.00,8781.21,9325.50,0.00,2.506,0.00,50.0
302.00,8781.21,9328.01,0.00,2.505,0.00,50.0
303.00,8781.21,9330.51,0.00,2.505,0.00,50.0
304.00,8781.21,9333.02,0.00,2.505,0.00,50.0
