time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,-4278.05,3189.14,45.00,4.706,0.00,50.0,0.00
6.00,-4274.76,3192.44,45.00,4.662,0.00,50.0,0.00
7.00,-4271.49,3195.71,45.00,4.618,0.00,50.0,0.00
8.00,-4268.26,3198.94,45.00,4.576,0.00,50.0,0.00
9.00,-4265.05,3202.15,45.00,4.535,0.00,50.0,0.00
10.00,-4261.87,3205.33,45.00,4.494,0.00,50.0,0.00
11.00,-4258.72,3208.48,45.00,4.454,0.00,50.0,0.00
12.00,-4255.60,3211.60,45.00,4.415,0.00,50.0,0.00
13.00,-4252.51,3214.69,45.00,4.377,0.00,50.0,0.00
14.00,-4249.44,3217.76,45.00,4.339,0.00,50.0,0.00
15.00,-4246.40,3220.80,45.00,4.302,0.00,50.0,0.00
16.00,-4243.38,3223.82,45.00,4.266,0.00,50.0,0.00
17.00,-4240.39,3226.81,45.00,4.231,0.00,50.0,0.00
18.00,-4237.43,3229.77,45.00,4.186,5.00,40.0,0.06
19.00,-4234.50,3232.70,45.00,4.143,5.00,40.0,0.11
20.00,-4231.60,3235.60,45.01,4.100,5.00,40.0,0.17
21.00,-4228.73,3238.47,45.01,4.058,5.00,40.0,0.22
22.00,-4225.89,3241.31,45.01,4.017,5.00,40.0,0.27
23.00,-4223.08,3244.12,45.02,3.976,5.00,40.0,0.32
24.00,-4220.29,3246.90,45.02,3.937,5.00,40.0,0.36
25.00,-4217.53,3249.66,45.03,3.898,5.00,40.0,0.41
26.00,-4214.80,3252.38,45.04,3.860,5.00,40.0,0.45
27.00,-4212.10,3255.09,45.05,3.823,5.00,40.0,0.49
28.00,-4209.42,3257.76,45.06,3.786,5.00,40.0,0.53
29.00,-4206.76,3260.41,45.07,3.751,5.00,40.0,0.57
30.00,-4204.14,3263.03,45.08,3.711,10.00,35.0,0.67
31.00,-4201.54,3265.62,45.09,3.671,10.00,35.0,0.76
32.00,-4198.96,3268.19,45.10,3.633,10.00,35.0,0.85
33.00,-4196.42,3270.73,45.12,3.595,10.00,35.0,0.94
34.00,-4193.90,3273.24,45.14,3.558,10.00,35.0,1.02
35.00,-4191.40,3275.72,45.15,3.522,10.00,35.0,1.10
36.00,-4188.93,3278.18,45.17,3.487,10.00,35.0,1.18
37.00,-4186.48,3280.62,45.20,3.452,10.00,35.0,1.25
38.00,-4184.05,3283.02,45.22,3.418,10.00,35.0,1.32
39.00,-4181.65,3285.41,45.24,3.385,10.00,35.0,1.39
40.00,-4179.27,3287.77,45.26,3.352,10.00,35.0,1.46
41.00,-4176.91,3290.10,45.29,3.320,10.00,35.0,1.53
42.00,-4174.58,3292.42,45.32,3.289,10.00,35.0,1.59
43.00,-4172.26,3294.71,45.34,3.258,10.00,35.0,1.65
44.00,-4169.96,3296.98,45.37,3.228,10.00,35.0,1.71
45.00,-4167.69,3299.22,45.40,3.198,15.00,35.0,1.83
46.00,-4165.43,3301.45,45.44,3.169,15.00,35.0,1.94
47.00,-4163.19,3303.65,45.47,3.141,15.00,35.0,2.04
48.00,-4160.97,3305.84,45.51,3.113,15.00,35.0,2.15
49.00,-4158.77,3308.00,45.54,3.086,15.00,35.0,2.25
50.00,-4156.59,3310.14,45.58,3.059,15.00,35.0,2.34
51.00,-4154.42,3312.26,45.62,3.033,15.00,35.0,2.44
52.00,-4152.27,3314.37,45.66,3.007,15.00,35.0,2.53
53.00,-4150.14,3316.45,45.71,2.982,15.00,35.0,2.61
54.00,-4148.02,3318.52,45.75,2.957,15.00,35.0,2.70
55.00,-4145.92,3320.56,45.80,2.933,15.00,35.0,2.78
56.00,-4143.84,3322.59,45.85,2.910,15.00,35.0,2.86
57.00,-4141.77,3324.60,45.90,2.886,15.00,35.0,2.93
58.00,-4139.71,3326.59,45.95,2.864,15.00,35.0,3.01
59.00,-4137.67,3328.57,46.00,2.841,15.00,35.0,3.08
60.00,-4135.64,3330.53,46.05,2.815,20.00,30.0,3.21
61.00,-4133.64,3332.46,46.11,2.788,20.00,30.0,3.33
62.00,-4131.64,3334.38,46.16,2.762,20.00,30.0,3.44
63.00,-4129.67,3336.27,46.22,2.737,20.00,30.0,3.56
64.00,-4127.71,3338.15,46.28,2.712,20.00,30.0,3.67
65.00,-4125.77,3340.01,46.35,2.688,20.00,30.0,3.77
66.00,-4123.84,3341.85,46.41,2.664,20.00,30.0,3.88
67.00,-4121.93,3343.67,46.48,2.641,20.00,30.0,3.98
68.00,-4120.03,3345.47,46.55,2.618,20.00,30.0,4.07
69.00,-4118.15,3347.26,46.62,2.596,20.00,30.0,4.17
70.00,-4116.27,3349.02,46.69,2.574,20.00,30.0,4.26
71.00,-4114.42,3350.77,46.76,2.553,20.00,30.0,4.34
72.00,-4112.57,3352.51,46.83,2.532,20.00,30.0,4.43
73.00,-4110.74,3354.23,46.91,2.511,20.00,30.0,4.51
74.00,-4108.92,3355.93,46.98,2.491,20.00,30.0,4.59
