time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
22.00,-5945.71,72.83,45.00,3.985,0.00,50.0,0.00
23.00,-5942.91,75.63,45.00,3.955,0.00,50.0,0.00
24.00,-5940.14,78.40,45.00,3.926,0.00,50.0,0.00
25.00,-5937.38,81.16,45.00,3.897,0.00,50.0,0.00
26.00,-5934.65,83.90,45.00,3.869,0.00,50.0,0.00
27.00,-5931.93,86.61,45.00,3.842,0.00,50.0,0.00
28.00,-5929.23,89.31,45.00,3.815,0.00,50.0,0.00
29.00,-5926.55,91.99,45.00,3.789,0.00,50.0,0.00
30.00,-5923.89,94.65,45.00,3.763,0.00,50.0,0.00
31.00,-5921.25,97.29,45.00,3.738,0.00,50.0,0.00
32.00,-5918.62,99.92,45.00,3.713,0.00,50.0,0.00
33.00,-5916.01,102.53,45.00,3.689,0.00,50.0,0.00
34.00,-5913.42,105.12,45.00,3.665,0.00,50.0,0.00
35.00,-5910.85,107.69,45.00,3.642,0.00,50.0,0.00
36.00,-5908.29,110.25,45.00,3.619,0.00,50.0,0.00
37.00,-5905.75,112.80,45.00,3.597,0.00,50.0,0.00
38.00,-5903.22,115.32,45.00,3.575,0.00,50.0,0.00
39.00,-5900.71,117.84,45.00,3.553,0.00,50.0,0.00
40.00,-5898.21,120.33,45.00,3.532,0.00,50.0,0.00
41.00,-5895.72,122.82,45.00,3.511,0.00,50.0,0.00
42.00,-5893.26,125.29,45.00,3.491,0.00,50.0,0.00
43.00,-5890.80,127.74,45.00,3.471,0.00,50.0,0.00
44.00,-5888.36,130.18,45.00,3.452,0.00,50.0,0.00
45.00,-5885.93,132.61,45.00,3.433,0.00,50.0,0.00
46.00,-5883.52,135.02,45.00,3.414,0.00,50.0,0.00
47.00,-5881.12,137.42,45.00,3.396,0.00,50.0,0.00
48.00,-5878.73,139.81,45.00,3.378,0.00,50.0,0.00
49.00,-5876.35,142.19,45.00,3.360,0.00,50.0,0.00
50.00,-5873.99,144.55,45.00,3.343,0.00,50.0,0.00
51.00,-5871.64,146.90,45.00,3.326,0.00,50.0,0.00
52.00,-5869.30,149.25,45.00,3.310,0.00,50.0,0.00
53.00,-5866.97,151.57,45.00,3.294,0.00,50.0,0.00
54.00,-5864.65,153.89,45.00,3.278,0.00,50.0,0.00
55.00,-5862.34,156.20,45.00,3.262,0.00,50.0,0.00
56.00,-5860.05,158.49,45.00,3.247,0.00,50.0,0.00
57.00,-5857.76,160.78,45.00,3.232,0.00,50.0,0.00
58.00,-5855.49,163.06,45.00,3.217,0.00,50.0,0.00
59.00,-5853.22,165.32,45.00,3.203,0.00,50.0,0.00
60.00,-5850.97,167.57,45.00,3.189,0.00,50.0,0.00
61.00,-5848.72,169.82,45.00,3.175,0.00,50.0,0.00
62.00,-5846.49,172.06,45.00,3.162,0.00,50.0,0.00
63.00,-5844.26,174.28,45.00,3.148,0.00,50.0,0.00
64.00,-5842.04,176.50,45.00,3.136,0.00,50.0,0.00
65.00,-5839.83,178.71,45.00,3.123,0.00,50.0,0.00
66.00,-5837.63,180.91,45.00,3.110,0.00,50.0,0.00
67.00,-5835.44,183.10,45.00,3.098,0.00,50.0,0.00
68.00,-5833.26,185.28,45.00,3.086,0.00,50.0,0.00
69.00,-5831.09,187.45,45.00,3.074,0.00,50.0,0.00
70.00,-5828.92,189.62,45.00,3.063,0.00,50.0,0.00
71.00,-5826.76,191.78,45.00,3.052,0.00,50.0,0.00
72.00,-5824.61,193.93,45.00,3.041,0.00,50.0,0.00
73.00,-5822.47,196.07,45.00,3.030,0.00,50.0,0.00
74.00,-5820.34,198.20,45.00,3.019,0.00,50.0,0.00
75.00,-5818.21,200.33,45.00,3.009,0.00,50.0,0.00
76.00,-5816.09,202.45,45.00,2.999,0.00,50.0,0.00
77.00,-5813.98,204.57,45.00,2.989,0.00,50.0,0.00
78.00,-5811.87,206.67,45.00,2.979,0.00,50.0,0.00
79.00,-5809.77,208.77,45.00,2.969,0.00,50.0,0.00
80.00,-5807.68,210.87,45.00,2.960,0.00,50.0,0.00
81.00,-5805.59,212.95,45.00,2.951,0.00,50.0,0.00
82.00,-5803.51,215.03,45.00,2.942,0.00,50.0,0.00
83.00,-5801.44,217.11,45.00,2.933,0.00,50.0,0.00
84.00,-5799.37,219.17,45.00,2.924,0.00,50.0,0.00
85.00,-5797.31,221.24,45.00,2.916,0.00,50.0,0.00
86.00,-5795.25,223.29,45.00,2.907,0.00,50.0,0.00
87.00,-5793.20,225.34,45.00,2.899,0.00,50.0,0.00
88.00,-5791.16,227.39,45.00,2.891,0.00,50.0,0.00
89.00,-5789.12,229.43,45.00,2.884,0.00,50.0,0.00
90.00,-5787.08,231.46,45.00,2.876,0.00,50.0,0.00
91.00,-5785.05,233.49,45.00,2.868,0.00,50.0,0.00
92.00,-5783.03,235.51,45.00,2.861,0.00,50.0,0.00
93.00,-5781.01,237.53,45.00,2.854,0.00,50.0,0.00
94.00,-5779.00,239.54,45.00,2.847,0.00,50.0,0.00
95.00,-5776.99,241.55,45.00,2.840,0.00,50.0,0.00
96.00,-5774.99,243.55,45.00,2.833,0.00,50.0,0.00
97.00,-5772.99,245.55,45.00,2.826,0.00,50.0,0.00
98.00,-5771.00,247.54,45.00,2.820,0.00,50.0,0.00
99.00,-5769.01,249.53,45.00,2.813,0.00,50.0,0.00
100.00,-5767.02,251.52,45.00,2.807,0.00,50.0,0.00
101.00,-5765.04,253.50,45.00,2.801,0.00,50.0,0.00
102.00,-5763.07,255.48,45.00,2.795,0.00,50.0,0.00
103.00,-5761.09,257.45,45.00,2.789,0.00,50.0,0.00
104.00,-5759.13,259.42,45.00,2.783,0.00,50.0,0.00
