time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
7.00,0.00,-3972.84,0.00,4.627,0.00,50.0,0.00
8.00,0.00,-3968.26,0.00,4.584,0.00,50.0,0.00
9.00,0.00,-3963.72,0.00,4.543,0.00,50.0,0.00
10.00,0.00,-3959.21,0.00,4.502,0.00,50.0,0.00
11.00,0.00,-3954.75,0.00,4.462,0.00,50.0,0.00
12.00,0.00,-3950.33,0.00,4.423,0.00,50.0,0.00
13.00,0.00,-3945.95,0.00,4.384,0.00,50.0,0.00
14.00,0.00,-3941.60,0.00,4.346,0.00,50.0,0.00
15.00,0.00,-3937.29,0.00,4.309,0.00,50.0,0.00
16.00,0.00,-3933.02,0.00,4.273,5.00,50.0,0.06
17.00,0.00,-3928.78,0.00,4.238,5.00,50.0,0.11
18.00,0.00,-3924.58,0.01,4.203,5.00,50.0,0.17
19.00,0.00,-3920.41,0.01,4.169,5.00,50.0,0.22
20.00,0.00,-3916.27,0.01,4.136,5.00,50.0,0.27
21.00,0.00,-3912.17,0.02,4.103,5.00,50.0,0.32
22.00,0.00,-3908.10,0.02,4.071,5.00,50.0,0.36
23.00,0.01,-3904.06,0.03,4.039,5.00,50.0,0.41
24.00,0.01,-3900.05,0.04,4.009,5.00,50.0,0.45
25.00,0.01,-3896.07,0.05,3.978,5.00,50.0,0.49
26.00,0.01,-3892.12,0.06,3.949,5.00,50.0,0.53
27.00,0.02,-3888.20,0.07,3.920,5.00,50.0,0.57
28.00,0.02,-3884.31,0.08,3.892,5.00,50.0,0.61
29.00,0.03,-3880.45,0.09,3.864,5.00,50.0,0.65
30.00,0.03,-3876.61,0.10,3.836,5.00,50.0,0.68
31.00,0.04,-3872.80,0.11,3.810,5.00,50.0,0.72
32.00,0.05,-3869.02,0.12,3.784,5.00,50.0,0.75
33.00,0.05,-3865.26,0.14,3.758,10.00,50.0,0.84
34.00,0.06,-3861.53,0.15,3.733,10.00,50.0,0.93
35.00,0.07,-3857.82,0.17,3.708,10.00,50.0,1.01
36.00,0.08,-3854.13,0.19,3.684,10.00,50.0,1.09
37.00,0.10,-3850.47,0.21,3.660,10.00,50.0,1.17
38.00,0.11,-3846.84,0.23,3.637,10.00,50.0,1.24
39.00,0.12,-3843.22,0.25,3.614,10.00,50.0,1.32
40.00,0.14,-3839.63,0.27,3.592,10.00,50.0,1.39
41.00,0.16,-3836.06,0.30,3.570,10.00,50.0,1.46
42.00,0.17,-3832.51,0.32,3.549,10.00,50.0,1.52
43.00,0.19,-3828.98,0.35,3.528,10.00,50.0,1.58
44.00,0.22,-3825.48,0.38,3.507,10.00,50.0,1.65
45.00,0.24,-3821.99,0.40,3.487,10.00,50.0,1.71
46.00,0.26,-3818.52,0.43,3.467,10.00,50.0,1.76
47.00,0.29,-3815.08,0.46,3.448,15.00,50.0,1.88
48.00,0.32,-3811.65,0.50,3.429,15.00,50.0,1.98
49.00,0.35,-3808.24,0.53,3.410,15.00,50.0,2.09
50.00,0.38,-3804.84,0.57,3.392,15.00,50.0,2.19
51.00,0.41,-3801.47,0.61,3.374,15.00,50.0,2.29
52.00,0.45,-3798.11,0.65,3.357,15.00,50.0,2.38
53.00,0.49,-3794.77,0.69,3.340,15.00,50.0,2.48
54.00,0.53,-3791.45,0.73,3.323,15.00,50.0,2.57
55.00,0.57,-3788.15,0.78,3.306,15.00,50.0,2.65
56.00,0.61,-3784.86,0.82,3.290,15.00,50.0,2.73
57.00,0.66,-3781.58,0.87,3.275,15.00,50.0,2.81
58.00,0.71,-3778.32,0.92,3.259,15.00,50.0,2.89
59.00,0.76,-3775.08,0.97,3.244,15.00,50.0,2.97
60.00,0.81,-3771.85,1.02,3.229,15.00,50.0,3.04
61.00,0.87,-3768.64,1.07,3.214,15.00,50.0,3.11
62.00,0.93,-3765.44,1.12,3.200,10.00,50.0,3.12
63.00,0.99,-3762.25,1.17,3.186,10.00,50.0,3.13
64.00,1.06,-3759.08,1.22,3.172,10.00,50.0,3.14
65.00,1.13,-3755.92,1.28,3.159,10.00,50.0,3.15
66.00,1.20,-3752.78,1.33,3.146,10.00,50.0,3.16
67.00,1.27,-3749.64,1.38,3.133,10.00,50.0,3.17
68.00,1.34,-3746.52,1.44,3.120,10.00,50.0,3.18
69.00,1.42,-3743.42,1.49,3.108,10.00,50.0,3.19
70.00,1.50,-3740.32,1.54,3.096,10.00,50.0,3.19
71.00,1.59,-3737.24,1.60,3.084,10.00,50.0,3.20
72.00,1.67,-3734.17,1.65,3.072,10.00,50.0,3.21
73.00,1.76,-3731.11,1.70,3.061,10.00,50.0,3.22
74.00,1.85,-3728.06,1.76,3.049,10.00,50.0,3.22
75.00,1.94,-3725.03,1.81,3.038,10.00,50.0,3.23
76.00,2.04,-3722.00,1.86,3.028,10.00,50.0,3.24
77.00,2.14,-3718.98,1.92,3.017,10.00,50.0,3.24
78.00,2.24,-3715.98,1.97,3.007,10.00,50.0,3.25
79.00,2.34,-3712.98,2.03,2.997,10.00,50.0,3.26
80.00,2.45,-3710.00,2.08,2.987,10.00,50.0,3.26
81.00,2.55,-3707.02,2.14,2.977,10.00,50.0,3.27
82.00,2.66,-3704.06,2.19,2.967,10.00,50.0,3.27
83.00,2.78,-3701.10,2.24,2.958,10.00,50.0,3.28
84.00,2.89,-3698.16,2.30,2.949,10.00,50.0,3.28
85.00,3.01,-3695.22,2.35,2.940,10.00,50.0,3.29
86.00,3.13,-3692.29,2.41,2.931,10.00,50.0,3.29
87.00,3.25,-3689.37,2.46,2.923,10.00,50.0,3.30
88.00,3.38,-3686.46,2.52,2.914,10.00,50.0,3.30
89.00,3.51,-3683.56,2.57,2.906,10.00,50.0,3.31
90.00,3.64,-3680.66,2.63,2.898,10.00,50.0,3.31
91.00,3.77,-3677.77,2.68,2.890,10.00,50.0,3.31
92.00,3.90,-3674.90,2.74,2.882,10.00,50.0,3.32
93.00,4.04,-3672.02,2.79,2.874,10.00,50.0,3.32
