time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,-1457.29,616.58,20.00,4.662,0.00,50.0,0.00
7.00,-1455.71,620.92,20.00,4.618,0.00,50.0,0.00
8.00,-1454.14,625.22,20.00,4.576,0.00,50.0,0.00
9.00,-1452.59,629.48,20.00,4.535,0.00,50.0,0.00
10.00,-1451.05,633.71,20.00,4.494,0.00,50.0,0.00
11.00,-1449.53,637.89,20.00,4.454,0.00,50.0,0.00
12.00,-1448.02,642.04,20.00,4.415,0.00,50.0,0.00
13.00,-1446.52,646.15,20.00,4.377,0.00,50.0,0.00
14.00,-1445.04,650.23,20.00,4.339,5.00,50.0,0.06
15.00,-1443.57,654.27,20.00,4.302,5.00,50.0,0.11
16.00,-1442.11,658.28,20.01,4.266,5.00,50.0,0.17
17.00,-1440.66,662.26,20.01,4.231,5.00,50.0,0.22
18.00,-1439.23,666.20,20.01,4.196,5.00,50.0,0.27
19.00,-1437.80,670.11,20.02,4.162,5.00,50.0,0.32
20.00,-1436.39,673.99,20.02,4.129,5.00,50.0,0.36
21.00,-1434.99,677.84,20.03,4.097,5.00,50.0,0.41
22.00,-1433.59,681.66,20.04,4.065,5.00,50.0,0.45
23.00,-1432.21,685.45,20.05,4.033,5.00,50.0,0.49
24.00,-1430.84,689.21,20.06,4.003,5.00,50.0,0.53
25.00,-1429.48,692.94,20.07,3.973,5.00,50.0,0.57
26.00,-1428.12,696.65,20.08,3.943,5.00,50.0,0.61
27.00,-1426.78,700.32,20.09,3.914,5.00,50.0,0.65
28.00,-1425.45,703.97,20.10,3.886,10.00,50.0,0.74
29.00,-1424.12,707.60,20.11,3.858,10.00,50.0,0.83
30.00,-1422.80,711.19,20.13,3.831,10.00,50.0,0.92
31.00,-1421.49,714.76,20.15,3.805,10.00,50.0,1.00
32.00,-1420.19,718.31,20.16,3.778,10.00,50.0,1.08
33.00,-1418.90,721.83,20.18,3.753,10.00,50.0,1.16
34.00,-1417.61,725.33,20.20,3.728,10.00,50.0,1.24
35.00,-1416.33,728.81,20.22,3.703,10.00,50.0,1.31
36.00,-1415.06,732.26,20.25,3.679,10.00,50.0,1.38
37.00,-1413.80,735.69,20.27,3.656,10.00,50.0,1.45
38.00,-1412.54,739.10,20.30,3.632,10.00,50.0,1.51
39.00,-1411.29,742.48,20.32,3.610,10.00,50.0,1.58
40.00,-1410.04,745.85,20.35,3.588,10.00,50.0,1.64
41.00,-1408.80,749.19,20.38,3.566,10.00,50.0,1.70
42.00,-1407.56,752.51,20.41,3.545,10.00,50.0,1.76
43.00,-1406.34,755.82,20.44,3.524,10.00,50.0,1.81
44.00,-1405.11,759.10,20.47,3.503,10.00,50.0,1.87
45.00,-1403.89,762.36,20.50,3.483,10.00,50.0,1.92
46.00,-1402.68,765.61,20.54,3.463,15.00,50.0,2.03
47.00,-1401.47,768.83,20.57,3.444,15.00,50.0,2.13
48.00,-1400.27,772.04,20.61,3.425,15.00,50.0,2.23
49.00,-1399.07,775.23,20.65,3.407,15.00,50.0,2.33
50.00,-1397.88,778.40,20.69,3.389,15.00,50.0,2.42
51.00,-1396.68,781.55,20.73,3.371,15.00,50.0,2.51
52.00,-1395.50,784.69,20.77,3.353,15.00,50.0,2.60
53.00,-1394.31,787.81,20.82,3.336,15.00,50.0,2.68
54.00,-1393.13,790.91,20.86,3.320,15.00,50.0,2.77
55.00,-1391.96,794.00,20.91,3.303,15.00,50.0,2.85
56.00,-1390.79,797.07,20.96,3.287,15.00,50.0,2.92
57.00,-1389.61,800.12,21.01,3.271,15.00,50.0,3.00
58.00,-1388.45,803.16,21.06,3.256,15.00,50.0,3.07
59.00,-1387.28,806.19,21.11,3.241,15.00,50.0,3.14
60.00,-1386.12,809.20,21.17,3.226,15.00,50.0,3.20
61.00,-1384.96,812.19,21.22,3.212,15.00,50.0,3.27
62.00,-1383.80,815.17,21.28,3.197,15.00,50.0,3.33
63.00,-1382.65,818.14,21.33,3.183,20.00,50.0,3.45
64.00,-1381.50,821.09,21.39,3.170,20.00,50.0,3.56
65.00,-1380.34,824.03,21.45,3.156,20.00,50.0,3.67
66.00,-1379.19,826.96,21.52,3.143,20.00,50.0,3.78
67.00,-1378.05,829.87,21.58,3.130,20.00,50.0,3.88
68.00,-1376.90,832.77,21.65,3.118,20.00,50.0,3.98
69.00,-1375.75,835.65,21.72,3.105,20.00,50.0,4.08
70.00,-1374.61,838.53,21.79,3.093,20.00,50.0,4.17
71.00,-1373.47,841.39,21.86,3.081,20.00,50.0,4.26
72.00,-1372.32,844.24,21.93,3.070,20.00,50.0,4.34
73.00,-1371.18,847.08,22.00,3.058,20.00,50.0,4.43
74.00,-1370.04,849.90,22.08,3.047,20.00,50.0,4.51
75.00,-1368.90,852.72,22.15,3.036,20.00,50.0,4.59
76.00,-1367.76,855.52,22.23,3.026,20.00,50.0,4.66
77.00,-1366.62,858.31,22.31,3.015,20.00,50.0,4.74
78.00,-1365.48,861.09,22.39,3.005,20.00,50.0,4.81
79.00,-1364.34,863.86,22.47,2.995,20.00,50.0,4.88
