time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,12.36,-22.03,0.00,4.662,0.00,50.0,0.00
7.00,12.36,-17.42,0.00,4.618,0.00,50.0,0.00
8.00,12.36,-12.84,0.00,4.576,0.00,50.0,0.00
9.00,12.36,-8.30,0.00,4.535,0.00,50.0,0.00
10.00,12.36,-3.81,0.00,4.494,0.00,50.0,0.00
11.00,12.36,0.64,0.00,4.454,0.00,50.0,0.00
12.00,12.36,5.06,0.00,4.415,5.00,50.0,0.06
13.00,12.36,9.44,0.00,4.377,5.00,50.0,0.11
14.00,12.36,13.77,0.01,4.339,5.00,50.0,0.17
15.00,12.36,18.08,0.01,4.302,5.00,50.0,0.22
16.00,12.36,22.34,0.01,4.266,5.00,50.0,0.27
17.00,12.36,26.57,0.02,4.231,5.00,50.0,0.32
18.00,12.36,30.77,0.02,4.196,5.00,50.0,0.36
19.00,12.37,34.93,0.03,4.162,5.00,50.0,0.41
20.00,12.37,39.06,0.04,4.129,5.00,50.0,0.45
21.00,12.37,43.16,0.05,4.097,5.00,50.0,0.49
22.00,12.38,47.22,0.06,4.065,5.00,50.0,0.53
23.00,12.38,51.26,0.07,4.033,5.00,50.0,0.57
24.00,12.38,55.26,0.08,4.003,5.00,50.0,0.61
25.00,12.39,59.23,0.09,3.973,10.00,50.0,0.70
26.00,12.39,63.17,0.10,3.943,10.00,50.0,0.80
27.00,12.40,67.09,0.12,3.914,10.00,50.0,0.88
28.00,12.41,70.98,0.13,3.886,10.00,50.0,0.97
29.00,12.42,74.83,0.15,3.858,10.00,50.0,1.05
30.00,12.43,78.66,0.17,3.831,10.00,50.0,1.13
31.00,12.44,82.47,0.19,3.805,10.00,50.0,1.21
32.00,12.45,86.25,0.21,3.778,10.00,50.0,1.28
33.00,12.47,90.00,0.23,3.753,10.00,50.0,1.35
34.00,12.48,93.73,0.26,3.728,10.00,50.0,1.42
35.00,12.50,97.43,0.28,3.703,10.00,50.0,1.49
36.00,12.52,101.11,0.31,3.679,10.00,50.0,1.55
37.00,12.54,104.77,0.33,3.656,10.00,50.0,1.62
38.00,12.56,108.40,0.36,3.632,10.00,50.0,1.68
39.00,12.58,112.01,0.39,3.610,10.00,50.0,1.73
40.00,12.60,115.60,0.42,3.588,15.00,50.0,1.85
41.00,12.63,119.16,0.45,3.566,15.00,50.0,1.96
42.00,12.66,122.71,0.49,3.545,15.00,50.0,2.06
43.00,12.69,126.23,0.52,3.524,15.00,50.0,2.17
44.00,12.72,129.73,0.56,3.503,15.00,50.0,2.27
45.00,12.75,133.22,0.60,3.483,15.00,50.0,2.36
46.00,12.79,136.68,0.64,3.463,15.00,50.0,2.45
47.00,12.83,140.12,0.68,3.444,15.00,50.0,2.54
48.00,12.87,143.55,0.73,3.425,15.00,50.0,2.63
49.00,12.91,146.95,0.77,3.407,15.00,50.0,2.71
50.00,12.96,150.34,0.82,3.389,15.00,50.0,2.80
51.00,13.01,153.71,0.87,3.371,15.00,50.0,2.87
52.00,13.06,157.07,0.92,3.353,15.00,50.0,2.95
53.00,13.11,160.40,0.97,3.336,15.00,50.0,3.02
54.00,13.17,163.72,1.02,3.320,15.00,50.0,3.09
55.00,13.23,167.02,1.07,3.303,20.00,50.0,3.22
56.00,13.29,170.31,1.13,3.287,20.00,50.0,3.34
57.00,13.35,173.58,1.19,3.271,20.00,50.0,3.46
58.00,13.42,176.84,1.25,3.256,20.00,50.0,3.57
59.00,13.49,180.08,1.31,3.241,20.00,50.0,3.68
60.00,13.56,183.30,1.37,3.226,20.00,50.0,3.79
61.00,13.64,186.51,1.44,3.212,20.00,50.0,3.89
62.00,13.72,189.71,1.50,3.197,20.00,50.0,3.99
63.00,13.80,192.89,1.57,3.183,20.00,50.0,4.08
64.00,13.89,196.06,1.64,3.170,20.00,50.0,4.18
65.00,13.98,199.22,1.71,3.156,20.00,50.0,4.26
66.00,14.08,202.36,1.78,3.143,20.00,50.0,4.35
67.00,14.17,205.49,1.86,3.130,20.00,50.0,4.43
68.00,14.27,208.60,1.93,3.118,20.00,50.0,4.52
69.00,14.38,211.71,2.01,3.105,20.00,50.0,4.59
70.00,14.49,214.80,2.09,3.093,20.00,50.0,4.67
71.00,14.60,217.88,2.17,3.081,20.00,50.0,4.74
72.00,14.71,220.94,2.25,3.070,20.00,50.0,4.81
73.00,14.83,224.00,2.33,3.058,20.00,50.0,4.88
74.00,14.96,227.05,2.41,3.047,20.00,50.0,4.95
75.00,15.09,230.08,2.49,3.036,20.00,50.0,5.01
76.00,15.22,233.10,2.58,3.026,20.00,50.0,5.07
77.00,15.35,236.11,2.66,3.015,20.00,50.0,5.13
78.00,15.49,239.12,2.75,3.005,20.00,50.0,5.19
79.00,15.64,242.11,2.84,2.995,20.00,50.0,5.24
80.00,15.78,245.09,2.92,2.985,20.00,50.0,5.30
81.00,15.94,248.06,3.01,2.975,20.00,50.0,5.35
82.00,16.09,251.02,3.10,2.966,20.00,50.0,5.40
83.00,16.25,253.97,3.19,2.956,20.00,50.0,5.45
84.00,16.42,256.91,3.29,2.947,20.00,50.0,5.50
85.00,16.58,259.85,3.38,2.938,20.00,50.0,5.54
86.00,16.76,262.77,3.47,2.929,20.00,50.0,5.59
87.00,16.93,265.69,3.57,2.921,20.00,50.0,5.63
88.00,17.12,268.59,3.66,2.912,20.00,50.0,5.67
89.00,17.30,271.49,3.76,2.904,20.00,50.0,5.71
90.00,17.49,274.38,3.85,2.896,20.00,50.0,5.75
91.00,17.68,277.26,3.95,2.888,20.00,50.0,5.78
92.00,17.88,280.14,4.04,2.880,20.00,50.0,5.82
93.00,18.09,283.00,4.14,2.873,20.00,50.0,5.85
94.00,18.29,285.86,4.24,2.865,20.00,50.0,5.89
95.00,18.50,288.71,4.34,2.858,20.00,50.0,5.92
96.00,18.72,291.55,4.44,2.851,20.00,50.0,5.95
97.00,18.94,294.39,4.54,2.844,20.00,50.0,5.98
98.00,19.16,297.22,4.64,2.837,20.00,50.0,6.01
99.00,19.39,300.04,4.74,2.830,20.00,50.0,6.04
100.00,19.63,302.85,4.84,2.824,20.00,50.0,6.07
101.00,19.86,305.66,4.94,2.817,20.00,50.0,6.09
102.00,20.11,308.46,5.04,2.811,20.00,50.0,6.12
103.00,20.35,311.25,5.15,2.805,20.00,50.0,6.14
104.00,20.60,314.04,5.25,2.799,20.00,50.0,6.17
105.00,20.86,316.82,5.35,2.793,20.00,50.0,6.19
106.00,21.12,319.60,5.45,2.787,20.00,50.0,6.21
107.00,21.38,322.37,5.56,2.781,20.00,50.0,6.23
108.00,21.65,325.13,5.66,2.775,20.00,50.0,6.25
109.00,21.92,327.88,5.77,2.770,20.00,50.0,6.27
110.00,22.20,330.63,5.87,2.764,20.00,50.0,6.29
111.00,22.49,333.38,5.98,2.759,20.00,50.0,6.31
112.00,22.77,336.12,6.08,2.754,20.00,50.0,6.33
113.00,23.06,338.85,6.19,2.749,20.00,50.0,6.35
114.00,23.36,341.58,6.30,2.744,20.00,50.0,6.36
115.00,23.66,344.30,6.40,2.739,20.00,50.0,6.38
116.00,23.96,347.02,6.51,2.734,20.00,50.0,6.40
117.00,24.27,349.73,6.61,2.730,20.00,50.0,6.41
118.00,24.59,352.44,6.72,2.725,20.00,50.0,6.43
119.00,24.91,355.14,6.83,2.720,20.00,50.0,6.44
120.00,25.23,357.84,6.94,2.716,20.00,50.0,6.46
121.00,25.56,360.53,7.04,2.712,20.00,50.0,6.47
122.00,25.89,363.22,7.15,2.708,20.00,50.0,6.48
123.00,26.23,365.90,7.26,2.703,20.00,50.0,6.49
124.00,26.57,368.58,7.37,2.699,20.00,50.0,6.51
125.00,26.91,371.25,7.48,2.695,20.00,50.0,6.52
126.00,27.26,373.92,7.59,2.691,20.00,50.0,6.53
