time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,7.61,14950.82,180.00,4.706,0.00,50.0,0.00
6.00,7.61,14946.16,180.00,4.662,0.00,50.0,0.00
7.00,7.61,14941.54,180.00,4.618,0.00,50.0,0.00
8.00,7.61,14936.96,180.00,4.576,0.00,50.0,0.00
9.00,7.61,14932.43,180.00,4.535,0.00,50.0,0.00
10.00,7.61,14927.94,180.00,4.494,0.00,50.0,0.00
11.00,7.61,14923.48,180.00,4.454,0.00,50.0,0.00
12.00,7.61,14919.07,180.00,4.415,0.00,50.0,0.00
13.00,7.61,14914.69,180.00,4.377,0.00,50.0,0.00
14.00,7.61,14910.35,180.00,4.339,5.00,50.0,0.06
15.00,7.61,14906.05,180.00,4.302,5.00,50.0,0.11
16.00,7.61,14901.78,180.01,4.266,5.00,50.0,0.17
17.00,7.61,14897.55,180.01,4.231,5.00,50.0,0.22
18.00,7.61,14893.36,180.01,4.196,5.00,50.0,0.27
19.00,7.60,14889.19,180.02,4.162,5.00,50.0,0.32
20.00,7.60,14885.06,180.02,4.129,5.00,50.0,0.36
21.00,7.60,14880.97,180.03,4.097,5.00,50.0,0.41
22.00,7.60,14876.90,180.04,4.065,5.00,50.0,0.45
23.00,7.60,14872.87,180.05,4.033,5.00,50.0,0.49
24.00,7.59,14868.87,180.06,4.003,5.00,50.0,0.53
25.00,7.59,14864.89,180.07,3.973,5.00,50.0,0.57
26.00,7.58,14860.95,180.08,3.943,5.00,50.0,0.61
27.00,7.58,14857.04,180.09,3.914,5.00,50.0,0.65
28.00,7.57,14853.15,180.10,3.886,5.00,50.0,0.68
29.00,7.57,14849.29,180.11,3.858,5.00,50.0,0.72
30.00,7.56,14845.46,180.12,3.831,5.00,50.0,0.75
31.00,7.55,14841.66,180.14,3.805,5.00,50.0,0.78
32.00,7.54,14837.88,180.15,3.778,5.00,50.0,0.81
33.00,7.53,14834.13,180.16,3.753,5.00,50.0,0.84
34.00,7.52,14830.40,180.18,3.728,10.00,50.0,0.93
35.00,7.51,14826.69,180.20,3.703,10.00,50.0,1.01
36.00,7.50,14823.01,180.21,3.679,10.00,50.0,1.09
37.00,7.48,14819.36,180.23,3.656,10.00,50.0,1.17
38.00,7.47,14815.73,180.25,3.632,10.00,50.0,1.25
39.00,7.45,14812.12,180.28,3.610,10.00,50.0,1.32
40.00,7.44,14808.53,180.30,3.588,10.00,50.0,1.39
41.00,7.42,14804.96,180.32,3.566,10.00,50.0,1.46
42.00,7.40,14801.42,180.35,3.545,10.00,50.0,1.52
43.00,7.38,14797.90,180.38,3.524,10.00,50.0,1.59
44.00,7.35,14794.39,180.40,3.503,10.00,50.0,1.65
45.00,7.33,14790.91,180.43,3.483,10.00,50.0,1.71
46.00,7.30,14787.45,180.46,3.463,10.00,50.0,1.77
47.00,7.27,14784.00,180.49,3.444,10.00,50.0,1.82
48.00,7.24,14780.58,180.52,3.425,10.00,50.0,1.87
49.00,7.21,14777.17,180.55,3.407,10.00,50.0,1.93
50.00,7.18,14773.78,180.59,3.389,10.00,50.0,1.98
51.00,7.15,14770.41,180.62,3.371,15.00,50.0,2.08
52.00,7.11,14767.06,180.66,3.353,15.00,50.0,2.18
53.00,7.07,14763.72,180.70,3.336,15.00,50.0,2.28
54.00,7.03,14760.40,180.74,3.320,15.00,50.0,2.38
55.00,6.99,14757.10,180.78,3.303,15.00,50.0,2.47
56.00,6.94,14753.81,180.82,3.287,15.00,50.0,2.56
57.00,6.90,14750.54,180.86,3.271,15.00,50.0,2.65
58.00,6.85,14747.28,180.91,3.256,15.00,50.0,2.73
59.00,6.80,14744.04,180.96,3.241,15.00,50.0,2.81
60.00,6.74,14740.82,181.00,3.226,15.00,50.0,2.89
61.00,6.69,14737.61,181.05,3.212,15.00,50.0,2.96
62.00,6.63,14734.41,181.10,3.197,15.00,50.0,3.03
63.00,6.57,14731.23,181.16,3.183,15.00,50.0,3.10
64.00,6.50,14728.06,181.21,3.170,15.00,50.0,3.17
65.00,6.44,14724.90,181.26,3.156,15.00,50.0,3.24
66.00,6.37,14721.76,181.32,3.143,15.00,50.0,3.30
67.00,6.29,14718.63,181.38,3.130,20.00,50.0,3.42
68.00,6.22,14715.51,181.43,3.118,20.00,50.0,3.54
69.00,6.14,14712.41,181.50,3.105,20.00,50.0,3.65
70.00,6.06,14709.32,181.56,3.093,20.00,50.0,3.75
71.00,5.98,14706.24,181.62,3.081,20.00,50.0,3.86
72.00,5.89,14703.17,181.69,3.070,20.00,50.0,3.96
73.00,5.80,14700.11,181.76,3.058,20.00,50.0,4.05
74.00,5.71,14697.07,181.82,3.047,20.00,50.0,4.15
75.00,5.61,14694.03,181.90,3.036,20.00,50.0,4.24
76.00,5.51,14691.01,181.97,3.026,20.00,50.0,4.32
77.00,5.41,14687.99,182.04,3.015,20.00,50.0,4.41
78.00,5.30,14684.99,182.12,3.005,20.00,50.0,4.49
79.00,5.19,14682.00,182.19,2.995,20.00,50.0,4.57
80.00,5.08,14679.02,182.27,2.985,20.00,50.0,4.65
81.00,4.96,14676.04,182.35,2.975,20.00,50.0,4.72
82.00,4.84,14673.08,182.43,2.966,20.00,50.0,4.79
83.00,4.71,14670.13,182.51,2.956,20.00,50.0,4.86
84.00,4.58,14667.18,182.59,2.947,20.00,50.0,4.93
85.00,4.45,14664.25,182.67,2.938,20.00,50.0,4.99
86.00,4.31,14661.32,182.76,2.929,20.00,50.0,5.05
87.00,4.17,14658.40,182.84,2.921,20.00,50.0,5.11
88.00,4.03,14655.49,182.93,2.912,20.00,50.0,5.17
89.00,3.88,14652.59,183.02,2.904,20.00,50.0,5.23
90.00,3.73,14649.70,183.10,2.896,20.00,50.0,5.28
91.00,3.57,14646.82,183.19,2.888,20.00,50.0,5.33
92.00,3.41,14643.94,183.28,2.880,20.00,50.0,5.38
93.00,3.24,14641.07,183.37,2.873,20.00,50.0,5.43
94.00,3.08,14638.21,183.47,2.865,20.00,50.0,5.48
95.00,2.90,14635.36,183.56,2.858,20.00,50.0,5.53
96.00,2.73,14632.52,183.65,2.851,20.00,50.0,5.57
97.00,2.55,14629.68,183.74,2.844,20.00,50.0,5.61
98.00,2.36,14626.85,183.84,2.837,20.00,50.0,5.66
99.00,2.17,14624.02,183.93,2.830,20.00,50.0,5.70
100.00,1.98,14621.21,184.03,2.824,20.00,50.0,5.73
101.00,1.78,14618.40,184.12,2.817,20.00,50.0,5.77
102.00,1.58,14615.59,184.22,2.811,20.00,50.0,5.81
103.00,1.37,14612.79,184.32,2.805,20.00,50.0,5.84
104.00,1.16,14610.00,184.42,2.799,20.00,50.0,5.88
105.00,0.95,14607.22,184.52,2.793,20.00,50.0,5.91
106.00,0.73,14604.44,184.61,2.787,20.00,50.0,5.94
107.00,0.50,14601.67,184.71,2.781,20.00,50.0,5.97
108.00,0.27,14598.90,184.81,2.775,20.00,50.0,6.00
109.00,0.04,14596.14,184.91,2.770,20.00,50.0,6.03
110.00,-0.20,14593.39,185.02,2.764,20.00,50.0,6.06
111.00,-0.44,14590.64,185.12,2.759,20.00,50.0,6.08
112.00,-0.68,14587.90,185.22,2.754,20.00,50.0,6.11
113.00,-0.93,14585.16,185.32,2.749,20.00,50.0,6.13
114.00,-1.19,14582.43,185.42,2.744,20.00,50.0,6.16
115.00,-1.45,14579.70,185.53,2.739,20.00,50.0,6.18
116.00,-1.71,14576.98,185.63,2.734,20.00,50.0,6.20
117.00,-1.98,14574.26,185.73,2.730,20.00,50.0,6.23
118.00,-2.25,14571.55,185.84,2.725,20.00,50.0,6.25
119.00,-2.53,14568.85,185.94,2.720,20.00,50.0,6.27
