time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,-5996.95,21.59,45.00,4.658,0.00,40.0,0.00
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.90,43.64,45.00,4.317,5.00,50.0,0.06
13.00,-5971.88,46.66,45.00,4.281,5.00,50.0,0.11
14.00,-5968.88,49.67,45.01,4.245,5.00,50.0,0.17
15.00,-5965.90,52.64,45.01,4.210,5.00,50.0,0.22
16.00,-5962.94,55.59,45.01,4.176,5.00,50.0,0.27
17.00,-5960.02,58.52,45.02,4.142,5.00,50.0,0.32
18.00,-5957.11,61.43,45.02,4.110,5.00,50.0,0.36
19.00,-5954.22,64.31,45.03,4.077,5.00,50.0,0.41
20.00,-5951.36,67.17,45.04,4.046,5.00,50.0,0.45
21.00,-5948.52,70.01,45.05,4.015,5.00,50.0,0.49
22.00,-5945.70,72.82,45.06,3.985,5.00,50.0,0.53
23.00,-5942.90,75.62,45.07,3.955,5.00,50.0,0.57
24.00,-5940.12,78.39,45.08,3.926,5.00,50.0,0.61
25.00,-5937.36,81.14,45.09,3.897,5.00,50.0,0.65
26.00,-5934.62,83.87,45.10,3.869,5.00,50.0,0.68
27.00,-5931.90,86.58,45.11,3.842,5.00,50.0,0.72
28.00,-5929.20,89.28,45.12,3.815,5.00,50.0,0.75
29.00,-5926.51,91.95,45.14,3.789,10.00,50.0,0.84
30.00,-5923.85,94.60,45.15,3.763,10.00,50.0,0.93
31.00,-5921.20,97.24,45.17,3.738,10.00,50.0,1.01
32.00,-5918.56,99.86,45.19,3.713,10.00,50.0,1.09
33.00,-5915.95,102.46,45.21,3.689,10.00,50.0,1.17
34.00,-5913.34,105.04,45.23,3.665,10.00,50.0,1.24
35.00,-5910.76,107.61,45.25,3.642,10.00,50.0,1.32
36.00,-5908.19,110.15,45.27,3.619,10.00,50.0,1.39
37.00,-5905.63,112.68,45.30,3.597,10.00,50.0,1.46
38.00,-5903.09,115.20,45.32,3.575,10.00,50.0,1.52
39.00,-5900.57,117.70,45.35,3.553,10.00,50.0,1.58
40.00,-5898.05,120.18,45.38,3.532,10.00,50.0,1.65
41.00,-5895.55,122.65,45.40,3.511,10.00,50.0,1.71
42.00,-5893.07,125.10,45.43,3.491,10.00,50.0,1.76
43.00,-5890.60,127.53,45.46,3.471,5.00,50.0,1.76
44.00,-5888.14,129.95,45.49,3.452,5.00,50.0,1.76
45.00,-5885.69,132.36,45.52,3.433,5.00,50.0,1.76
46.00,-5883.25,134.75,45.55,3.414,5.00,50.0,1.76
47.00,-5880.83,137.13,45.58,3.396,5.00,50.0,1.76
48.00,-5878.41,139.50,45.61,3.378,5.00,50.0,1.75
49.00,-5876.01,141.85,45.64,3.360,5.00,50.0,1.75
50.00,-5873.62,144.18,45.67,3.343,5.00,50.0,1.75
51.00,-5871.24,146.51,45.70,3.326,5.00,50.0,1.75
52.00,-5868.87,148.82,45.73,3.310,5.00,50.0,1.75
53.00,-5866.52,151.12,45.76,3.294,5.00,50.0,1.75
54.00,-5864.17,153.41,45.78,3.278,5.00,50.0,1.75
55.00,-5861.83,155.68,45.81,3.262,5.00,50.0,1.75
56.00,-5859.50,157.94,45.84,3.247,5.00,50.0,1.74
57.00,-5857.18,160.20,45.87,3.232,5.00,50.0,1.74
58.00,-5854.87,162.44,45.90,3.217,5.00,50.0,1.74
59.00,-5852.57,164.67,45.93,3.203,10.00,50.0,1.80
60.00,-5850.28,166.88,45.96,3.189,10.00,50.0,1.85
61.00,-5848.00,169.09,45.99,3.175,10.00,50.0,1.91
62.00,-5845.72,171.29,46.03,3.162,10.00,50.0,1.96
63.00,-5843.46,173.47,46.06,3.148,10.00,50.0,2.01
64.00,-5841.20,175.65,46.09,3.136,10.00,50.0,2.05
65.00,-5838.95,177.81,46.13,3.123,10.00,50.0,2.10
66.00,-5836.71,179.97,46.16,3.110,10.00,50.0,2.14
67.00,-5834.47,182.12,46.20,3.098,10.00,50.0,2.19
68.00,-5832.25,184.25,46.24,3.086,10.00,50.0,2.23
69.00,-5830.03,186.38,46.28,3.074,10.00,50.0,2.27
70.00,-5827.81,188.50,46.31,3.063,10.00,50.0,2.31
71.00,-5825.61,190.60,46.35,3.052,10.00,50.0,2.34
72.00,-5823.41,192.70,46.39,3.041,10.00,50.0,2.38
73.00,-5821.21,194.79,46.43,3.030,10.00,50.0,2.41
74.00,-5819.02,196.87,46.47,3.019,5.00,50.0,2.39
75.00,-5816.84,198.94,46.51,3.009,5.00,50.0,2.37
76.00,-5814.67,201.01,46.55,2.999,5.00,50.0,2.35
77.00,-5812.50,203.06,46.59,2.989,5.00,50.0,2.33
78.00,-5810.33,205.11,46.63,2.979,5.00,50.0,2.31
79.00,-5808.17,207.15,46.67,2.969,5.00,50.0,2.29
80.00,-5806.02,209.18,46.70,2.960,5.00,50.0,2.27
81.00,-5803.87,211.21,46.74,2.951,5.00,50.0,2.25
82.00,-5801.73,213.22,46.78,2.942,5.00,50.0,2.23
83.00,-5799.59,215.23,46.82,2.933,5.00,50.0,2.21
84.00,-5797.46,217.23,46.85,2.924,5.00,50.0,2.20
85.00,-5795.33,219.22,46.89,2.916,5.00,50.0,2.18
86.00,-5793.21,221.21,46.93,2.907,5.00,50.0,2.16
87.00,-5791.09,223.19,46.96,2.899,5.00,50.0,2.15
88.00,-5788.98,225.17,47.00,2.891,5.00,50.0,2.14
89.00,-5786.87,227.13,47.03,2.884,5.00,50.0,2.12
90.00,-5784.77,229.09,47.07,2.876,5.00,50.0,2.11
91.00,-5782.67,231.05,47.10,2.868,5.00,50.0,2.09
92.00,-5780.57,232.99,47.14,2.861,10.00,50.0,2.14
93.00,-5778.48,234.93,47.17,2.854,10.00,50.0,2.18
94.00,-5776.39,236.87,47.21,2.847,10.00,50.0,2.22
95.00,-5774.31,238.80,47.25,2.840,10.00,50.0,2.26
96.00,-5772.23,240.72,47.29,2.833,10.00,50.0,2.30
97.00,-5770.15,242.64,47.33,2.826,10.00,50.0,2.34
98.00,-5768.08,244.55,47.37,2.820,10.00,50.0,2.38
99.00,-5766.01,246.46,47.41,2.813,10.00,50.0,2.41
100.00,-5763.94,248.36,47.45,2.807,10.00,50.0,2.45
101.00,-5761.88,250.25,47.49,2.801,10.00,50.0,2.48
102.00,-5759.82,252.14,47.53,2.795,10.00,50.0,2.51
103.00,-5757.76,254.02,47.57,2.789,10.00,50.0,2.54
104.00,-5755.71,255.90,47.61,2.783,10.00,50.0,2.57
105.00,-5753.66,257.77,47.66,2.778,10.00,50.0,2.60
106.00,-5751.61,259.64,47.70,2.772,10.00,50.0,2.63
107.00,-5749.56,261.50,47.75,2.767,10.00,50.0,2.65
108.00,-5747.52,263.36,47.79,2.761,10.00,50.0,2.68
109.00,-5745.48,265.21,47.84,2.756,10.00,50.0,2.70
110.00,-5743.44,267.06,47.88,2.751,10.00,50.0,2.73
111.00,-5741.40,268.90,47.93,2.746,15.00,50.0,2.81
112.00,-5739.36,270.73,47.98,2.741,15.00,50.0,2.89
113.00,-5737.33,272.57,48.03,2.736,15.00,50.0,2.96
114.00,-5735.30,274.39,48.08,2.731,15.00,50.0,3.03
115.00,-5733.27,276.21,48.13,2.727,15.00,50.0,3.10
116.00,-5731.25,278.03,48.18,2.722,15.00,50.0,3.17
117.00,-5729.22,279.84,48.23,2.718,15.00,50.0,3.24
118.00,-5727.20,281.65,48.29,2.713,15.00,50.0,3.30
119.00,-5725.17,283.45,48.35,2.709,15.00,50.0,3.36
120.00,-5723.15,285.25,48.40,2.705,15.00,50.0,3.42
121.00,-5721.13,287.04,48.46,2.701,15.00,50.0,3.48
122.00,-5719.11,288.83,48.52,2.697,15.00,50.0,3.54
123.00,-5717.10,290.62,48.58,2.693,15.00,50.0,3.59
124.00,-5715.08,292.40,48.64,2.689,15.00,50.0,3.64
125.00,-5713.06,294.17,48.70,2.685,20.00,50.0,3.75
126.00,-5711.05,295.94,48.77,2.682,20.00,50.0,3.85
127.00,-5709.04,297.70,48.83,2.678,20.00,50.0,3.95
128.00,-5707.02,299.47,48.90,2.674,20.00,50.0,4.05
129.00,-5705.01,301.22,48.97,2.671,20.00,50.0,4.14
130.00,-5703.00,302.97,49.04,2.668,20.00,50.0,4.23
131.00,-5700.99,304.72,49.11,2.664,20.00,50.0,4.32
132.00,-5698.97,306.46,49.19,2.661,20.00,50.0,4.40
133.00,-5696.96,308.20,49.26,2.658,20.00,50.0,4.49
134.00,-5694.95,309.93,49.34,2.655,20.00,50.0,4.57
135.00,-5692.94,311.66,49.41,2.651,20.00,50.0,4.64
136.00,-5690.93,313.38,49.49,2.648,20.00,50.0,4.72
137.00,-5688.92,315.10,49.57,2.645,20.00,50.0,4.79
138.00,-5686.91,316.81,49.65,2.643,20.00,50.0,4.86
139.00,-5684.89,318.52,49.73,2.640,20.00,50.0,4.92
140.00,-5682.88,320.23,49.82,2.637,20.00,50.0,4.99
141.00,-5680.87,321.93,49.90,2.634,20.00,50.0,5.05
142.00,-5678.86,323.62,49.99,2.631,20.00,50.0,5.11
143.00,-5676.84,325.31,50.07,2.629,20.00,50.0,5.17
144.00,-5674.83,327.00,50.16,2.626,20.00,50.0,5.22
145.00,-5672.81,328.68,50.25,2.624,20.00,50.0,5.28
146.00,-5670.80,330.35,50.34,2.621,20.00,50.0,5.33
147.00,-5668.78,332.02,50.43,2.619,20.00,50.0,5.38
148.00,-5666.77,333.69,50.52,2.616,20.00,50.0,5.43
149.00,-5664.75,335.35,50.61,2.614,20.00,50.0,5.48
150.00,-5662.73,337.01,50.70,2.612,20.00,50.0,5.52
151.00,-5660.71,338.66,50.79,2.610,20.00,50.0,5.57
152.00,-5658.69,340.31,50.89,2.607,20.00,50.0,5.61
153.00,-5656.67,341.96,50.98,2.605,20.00,50.0,5.65
154.00,-5654.65,343.59,51.08,2.603,20.00,50.0,5.69
155.00,-5652.62,345.23,51.17,2.601,20.00,50.0,5.73
156.00,-5650.60,346.86,51.27,2.599,20.00,50.0,5.77
157.00,-5648.57,348.48,51.37,2.597,20.00,50.0,5.81
158.00,-5646.55,350.10,51.46,2.595,20.00,50.0,5.84
159.00,-5644.52,351.72,51.56,2.593,20.00,50.0,5.88
160.00,-5642.49,353.33,51.66,2.591,20.00,50.0,5.91
161.00,-5640.46,354.94,51.76,2.590,20.00,50.0,5.94
162.00,-5638.42,356.54,51.86,2.588,20.00,50.0,5.97
163.00,-5636.39,358.14,51.96,2.586,20.00,50.0,6.00
164.00,-5634.35,359.73,52.06,2.584,20.00,50.0,6.03
165.00,-5632.32,361.32,52.16,2.583,20.00,50.0,6.06
166.00,-5630.28,362.90,52.26,2.581,20.00,50.0,6.08
167.00,-5628.24,364.48,52.36,2.579,20.00,50.0,6.11
168.00,-5626.20,366.05,52.46,2.578,20.00,50.0,6.13
169.00,-5624.16,367.62,52.57,2.576,20.00,50.0,6.16
170.00,-5622.11,369.19,52.67,2.575,20.00,50.0,6.18
171.00,-5620.07,370.75,52.77,2.573,20.00,50.0,6.20
172.00,-5618.02,372.30,52.88,2.572,20.00,50.0,6.23
173.00,-5615.97,373.85,52.98,2.570,20.00,50.0,6.25
174.00,-5613.92,375.40,53.09,2.569,20.00,50.0,6.27
175.00,-5611.86,376.94,53.19,2.567,20.00,50.0,6.29
176.00,-5609.81,378.48,53.30,2.566,20.00,50.0,6.31
177.00,-5607.75,380.01,53.40,2.565,20.00,50.0,6.32
178.00,-5605.70,381.54,53.51,2.564,20.00,50.0,6.34
179.00,-5603.64,383.07,53.61,2.562,20.00,50.0,6.36
180.00,-5601.57,384.59,53.72,2.561,20.00,50.0,6.38
181.00,-5599.51,386.10,53.83,2.560,20.00,50.0,6.39
182.00,-5597.45,387.61,53.93,2.559,20.00,50.0,6.41
183.00,-5595.38,389.12,54.04,2.557,20.00,50.0,6.42
184.00,-5593.31,390.62,54.15,2.556,20.00,50.0,6.44
185.00,-5591.24,392.11,54.25,2.555,20.00,50.0,6.45
186.00,-5589.16,393.61,54.36,2.554,20.00,50.0,6.46
187.00,-5587.09,395.09,54.47,2.553,20.00,50.0,6.48
188.00,-5585.01,396.58,54.58,2.552,20.00,50.0,6.49
189.00,-5582.93,398.05,54.69,2.551,20.00,50.0,6.50
190.00,-5580.85,399.53,54.79,2.550,20.00,50.0,6.51
191.00,-5578.77,401.00,54.90,2.549,20.00,50.0,6.53
192.00,-5576.69,402.46,55.01,2.548,20.00,50.0,6.54
193.00,-5574.60,403.92,55.12,2.547,20.00,50.0,6.55
194.00,-5572.51,405.38,55.23,2.546,20.00,50.0,6.56
195.00,-5570.42,406.83,55.34,2.545,20.00,50.0,6.57
196.00,-5568.33,408.28,55.45,2.544,20.00,50.0,6.58
197.00,-5566.23,409.72,55.56,2.543,20.00,50.0,6.59
198.00,-5564.14,411.16,55.67,2.542,20.00,50.0,6.60
199.00,-5562.04,412.59,55.78,2.542,20.00,50.0,6.60
200.00,-5559.94,414.02,55.89,2.541,20.00,50.0,6.61
201.00,-5557.83,415.44,56.00,2.540,20.00,50.0,6.62
202.00,-5555.73,416.86,56.11,2.539,20.00,50.0,6.63
203.00,-5553.62,418.28,56.22,2.538,20.00,50.0,6.64
204.00,-5551.51,419.69,56.33,2.538,20.00,50.0,6.64
205.00,-5549.40,421.10,56.44,2.537,20.00,50.0,6.65
206.00,-5547.29,422.50,56.55,2.536,20.00,50.0,6.66
207.00,-5545.17,423.90,56.66,2.535,20.00,50.0,6.66
208.00,-5543.06,425.29,56.78,2.535,20.00,50.0,6.67
209.00,-5540.94,426.68,56.89,2.534,20.00,50.0,6.68
210.00,-5538.81,428.06,57.00,2.533,20.00,50.0,6.68
211.00,-5536.69,429.44,57.11,2.533,20.00,50.0,6.69
212.00,-5534.56,430.82,57.22,2.532,20.00,50.0,6.69
213.00,-5532.44,432.19,57.33,2.531,20.00,50.0,6.70
214.00,-5530.30,433.55,57.44,2.531,20.00,50.0,6.70
215.00,-5528.17,434.91,57.56,2.530,20.00,50.0,6.71
216.00,-5526.04,436.27,57.67,2.529,20.00,50.0,6.71
217.00,-5523.90,437.62,57.78,2.529,20.00,50.0,6.72
218.00,-5521.76,438.97,57.89,2.528,20.00,50.0,6.72
219.00,-5519.62,440.31,58.00,2.528,20.00,50.0,6.73
220.00,-5517.48,441.65,58.12,2.527,20.00,50.0,6.73
221.00,-5515.33,442.99,58.23,2.527,20.00,50.0,6.74
