time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.91,43.63,45.00,4.307,0.00,40.0,0.00
13.00,-5971.90,46.64,45.00,4.261,0.00,40.0,0.00
14.00,-5968.91,49.63,45.00,4.226,5.00,50.0,0.06
15.00,-5965.95,52.59,45.00,4.191,5.00,50.0,0.11
16.00,-5963.01,55.53,45.01,4.157,5.00,50.0,0.17
17.00,-5960.09,58.45,45.01,4.124,5.00,50.0,0.22
18.00,-5957.20,61.34,45.01,4.092,5.00,50.0,0.27
19.00,-5954.33,64.21,45.02,4.060,5.00,50.0,0.32
20.00,-5951.48,67.06,45.02,4.029,5.00,50.0,0.36
21.00,-5948.65,69.89,45.03,3.998,5.00,50.0,0.41
22.00,-5945.84,72.69,45.04,3.968,5.00,50.0,0.45
23.00,-5943.05,75.47,45.05,3.939,5.00,50.0,0.49
24.00,-5940.29,78.24,45.06,3.910,5.00,50.0,0.53
25.00,-5937.54,80.98,45.07,3.882,5.00,50.0,0.57
26.00,-5934.81,83.70,45.08,3.854,5.00,50.0,0.61
27.00,-5932.10,86.40,45.09,3.827,5.00,50.0,0.65
28.00,-5929.41,89.09,45.10,3.801,5.00,50.0,0.68
29.00,-5926.73,91.75,45.11,3.775,5.00,50.0,0.72
30.00,-5924.08,94.40,45.12,3.749,5.00,50.0,0.75
31.00,-5921.44,97.02,45.14,3.724,5.00,50.0,0.78
32.00,-5918.82,99.63,45.15,3.700,5.00,50.0,0.81
33.00,-5916.21,102.23,45.16,3.676,5.00,50.0,0.84
34.00,-5913.62,104.80,45.18,3.652,5.00,50.0,0.87
35.00,-5911.05,107.36,45.19,3.629,10.00,50.0,0.96
36.00,-5908.49,109.90,45.21,3.606,10.00,50.0,1.04
37.00,-5905.95,112.43,45.23,3.584,10.00,50.0,1.12
38.00,-5903.42,114.94,45.25,3.563,10.00,50.0,1.20
39.00,-5900.90,117.43,45.27,3.541,10.00,50.0,1.27
40.00,-5898.40,119.91,45.29,3.521,10.00,50.0,1.34
41.00,-5895.91,122.37,45.32,3.500,10.00,50.0,1.41
42.00,-5893.44,124.82,45.34,3.480,10.00,50.0,1.48
43.00,-5890.98,127.25,45.37,3.461,10.00,50.0,1.55
44.00,-5888.53,129.67,45.39,3.441,10.00,50.0,1.61
45.00,-5886.09,132.07,45.42,3.423,10.00,50.0,1.67
46.00,-5883.67,134.46,45.45,3.404,10.00,50.0,1.73
47.00,-5881.25,136.83,45.48,3.386,10.00,50.0,1.78
48.00,-5878.85,139.20,45.51,3.368,15.00,50.0,1.90
49.00,-5876.46,141.54,45.55,3.351,15.00,50.0,2.00
50.00,-5874.08,143.88,45.58,3.334,15.00,50.0,2.11
51.00,-5871.71,146.20,45.62,3.317,15.00,50.0,2.21
52.00,-5869.35,148.51,45.66,3.301,15.00,50.0,2.31
53.00,-5867.00,150.81,45.70,3.285,15.00,50.0,2.40
54.00,-5864.66,153.09,45.74,3.269,15.00,50.0,2.49
