time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.91,43.63,45.00,4.307,0.00,40.0,0.00
13.00,-5971.90,46.64,45.00,4.261,5.00,40.0,0.06
14.00,-5968.92,49.62,45.00,4.216,5.00,40.0,0.11
15.00,-5965.97,52.57,45.01,4.171,5.00,40.0,0.17
16.00,-5963.05,55.49,45.01,4.128,5.00,40.0,0.22
17.00,-5960.16,58.38,45.01,4.085,5.00,40.0,0.27
18.00,-5957.30,61.24,45.02,4.044,5.00,40.0,0.32
19.00,-5954.47,64.07,45.02,4.003,5.00,40.0,0.36
20.00,-5951.66,66.87,45.03,3.963,5.00,40.0,0.41
21.00,-5948.89,69.64,45.04,3.924,5.00,40.0,0.45
22.00,-5946.14,72.39,45.05,3.885,5.00,40.0,0.49
23.00,-5943.42,75.11,45.06,3.847,5.00,40.0,0.53
24.00,-5940.72,77.80,45.07,3.810,5.00,40.0,0.57
25.00,-5938.05,80.46,45.08,3.774,5.00,40.0,0.61
26.00,-5935.40,83.10,45.09,3.739,5.00,40.0,0.65
27.00,-5932.78,85.72,45.10,3.704,5.00,40.0,0.68
28.00,-5930.18,88.31,45.11,3.670,5.00,40.0,0.72
29.00,-5927.60,90.87,45.12,3.636,5.00,40.0,0.75
30.00,-5925.05,93.42,45.14,3.604,5.00,40.0,0.78
31.00,-5922.52,95.94,45.15,3.572,5.00,40.0,0.81
32.00,-5920.01,98.43,45.16,3.540,10.00,40.0,0.90
33.00,-5917.52,100.91,45.18,3.509,10.00,40.0,0.99
34.00,-5915.05,103.36,45.20,3.479,10.00,40.0,1.07
35.00,-5912.60,105.79,45.22,3.450,10.00,40.0,1.15
36.00,-5910.18,108.20,45.24,3.421,10.00,40.0,1.22
37.00,-5907.77,110.59,45.26,3.392,10.00,40.0,1.30
38.00,-5905.38,112.96,45.28,3.364,10.00,40.0,1.37
39.00,-5903.01,115.31,45.31,3.337,10.00,40.0,1.44
40.00,-5900.65,117.63,45.33,3.310,10.00,40.0,1.50
41.00,-5898.32,119.94,45.36,3.284,10.00,40.0,1.57
42.00,-5896.00,122.23,45.38,3.258,10.00,40.0,1.63
43.00,-5893.70,124.50,45.41,3.233,10.00,40.0,1.69
44.00,-5891.41,126.76,45.44,3.209,10.00,40.0,1.75
45.00,-5889.14,128.99,45.47,3.184,15.00,40.0,1.86
46.00,-5886.89,131.21,45.51,3.161,15.00,40.0,1.97
47.00,-5884.65,133.41,45.54,3.138,15.00,40.0,2.07
48.00,-5882.43,135.59,45.58,3.115,15.00,40.0,2.18
49.00,-5880.22,137.75,45.61,3.093,15.00,40.0,2.28
50.00,-5878.02,139.90,45.65,3.071,15.00,40.0,2.37
51.00,-5875.84,142.03,45.69,3.049,15.00,40.0,2.46
52.00,-5873.68,144.15,45.74,3.028,15.00,40.0,2.55
53.00,-5871.52,146.25,45.78,3.008,15.00,40.0,2.64
54.00,-5869.38,148.33,45.83,2.988,15.00,40.0,2.72
