time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,-5996.95,21.59,45.00,4.658,0.00,40.0,0.00
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.90,43.64,45.00,4.317,5.00,50.0,0.06
13.00,-5971.88,46.66,45.00,4.281,5.00,50.0,0.11
14.00,-5968.88,49.67,45.01,4.245,5.00,50.0,0.17
15.00,-5965.90,52.64,45.01,4.210,5.00,50.0,0.22
16.00,-5962.94,55.59,45.01,4.176,5.00,50.0,0.27
17.00,-5960.02,58.52,45.02,4.142,5.00,50.0,0.32
18.00,-5957.11,61.43,45.02,4.110,5.00,50.0,0.36
19.00,-5954.22,64.31,45.03,4.077,5.00,50.0,0.41
20.00,-5951.36,67.17,45.04,4.046,5.00,50.0,0.45
21.00,-5948.52,70.01,45.05,4.015,5.00,50.0,0.49
22.00,-5945.70,72.82,45.06,3.985,5.00,50.0,0.53
23.00,-5942.90,75.62,45.07,3.955,5.00,50.0,0.57
24.00,-5940.12,78.39,45.08,3.926,5.00,50.0,0.61
25.00,-5937.36,81.14,45.09,3.897,5.00,50.0,0.65
26.00,-5934.62,83.87,45.10,3.869,10.00,50.0,0.74
27.00,-5931.90,86.58,45.11,3.842,10.00,50.0,0.83
28.00,-5929.20,89.28,45.13,3.815,10.00,50.0,0.92
29.00,-5926.51,91.95,45.15,3.789,10.00,50.0,1.00
30.00,-5923.84,94.60,45.16,3.763,10.00,50.0,1.08
31.00,-5921.19,97.24,45.18,3.738,10.00,50.0,1.16
32.00,-5918.56,99.86,45.20,3.713,10.00,50.0,1.24
33.00,-5915.94,102.46,45.22,3.689,10.00,50.0,1.31
34.00,-5913.34,105.04,45.25,3.665,10.00,50.0,1.38
35.00,-5910.75,107.60,45.27,3.642,10.00,50.0,1.45
36.00,-5908.18,110.15,45.30,3.619,10.00,50.0,1.51
37.00,-5905.63,112.68,45.32,3.597,10.00,50.0,1.58
38.00,-5903.09,115.19,45.35,3.575,15.00,50.0,1.70
39.00,-5900.56,117.69,45.38,3.553,15.00,50.0,1.81
40.00,-5898.04,120.17,45.41,3.532,15.00,50.0,1.92
41.00,-5895.54,122.63,45.45,3.511,15.00,50.0,2.03
42.00,-5893.05,125.08,45.48,3.491,15.00,50.0,2.13
43.00,-5890.58,127.52,45.52,3.471,15.00,50.0,2.23
44.00,-5888.12,129.94,45.56,3.452,15.00,50.0,2.33
45.00,-5885.67,132.34,45.60,3.433,15.00,50.0,2.42
46.00,-5883.23,134.73,45.64,3.414,15.00,50.0,2.51
47.00,-5880.80,137.10,45.69,3.396,15.00,50.0,2.60
48.00,-5878.38,139.46,45.73,3.378,15.00,50.0,2.69
49.00,-5875.98,141.81,45.78,3.360,15.00,50.0,2.77
50.00,-5873.58,144.14,45.82,3.343,15.00,50.0,2.85
51.00,-5871.19,146.46,45.87,3.326,15.00,50.0,2.92
52.00,-5868.82,148.76,45.92,3.310,15.00,50.0,3.00
53.00,-5866.45,151.05,45.97,3.294,15.00,50.0,3.07
54.00,-5864.09,153.33,46.03,3.278,15.00,50.0,3.14
55.00,-5861.75,155.60,46.08,3.262,15.00,50.0,3.21
56.00,-5859.41,157.85,46.13,3.247,15.00,50.0,3.27
57.00,-5857.08,160.09,46.19,3.232,15.00,50.0,3.33
58.00,-5854.76,162.32,46.25,3.217,15.00,50.0,3.39
59.00,-5852.44,164.53,46.30,3.203,15.00,50.0,3.45
60.00,-5850.14,166.73,46.36,3.189,15.00,50.0,3.51
61.00,-5847.84,168.93,46.42,3.175,15.00,50.0,3.56
62.00,-5845.55,171.11,46.48,3.162,15.00,50.0,3.62
63.00,-5843.27,173.27,46.54,3.148,15.00,50.0,3.67
64.00,-5840.99,175.43,46.60,3.136,15.00,50.0,3.72
65.00,-5838.72,177.58,46.67,3.123,15.00,50.0,3.76
66.00,-5836.46,179.71,46.73,3.110,15.00,50.0,3.81
67.00,-5834.20,181.83,46.79,3.098,15.00,50.0,3.85
68.00,-5831.95,183.95,46.86,3.086,15.00,50.0,3.90
69.00,-5829.71,186.05,46.93,3.074,15.00,50.0,3.94
70.00,-5827.47,188.14,46.99,3.063,15.00,50.0,3.98
71.00,-5825.24,190.22,47.06,3.052,15.00,50.0,4.02
72.00,-5823.01,192.29,47.13,3.041,15.00,50.0,4.05
73.00,-5820.79,194.35,47.19,3.030,15.00,50.0,4.09
74.00,-5818.58,196.41,47.26,3.019,15.00,50.0,4.13
75.00,-5816.37,198.45,47.33,3.009,15.00,50.0,4.16
76.00,-5814.16,200.48,47.40,2.999,15.00,50.0,4.19
77.00,-5811.96,202.50,47.47,2.989,15.00,50.0,4.22
78.00,-5809.77,204.52,47.54,2.979,15.00,50.0,4.25
79.00,-5807.58,206.52,47.61,2.969,15.00,50.0,4.28
80.00,-5805.39,208.52,47.69,2.960,15.00,50.0,4.31
81.00,-5803.21,210.50,47.76,2.951,10.00,50.0,4.28
82.00,-5801.03,212.48,47.83,2.942,10.00,50.0,4.25
83.00,-5798.86,214.45,47.90,2.933,10.00,50.0,4.23
84.00,-5796.69,216.41,47.97,2.924,10.00,50.0,4.20
85.00,-5794.52,218.36,48.04,2.916,10.00,50.0,4.18
86.00,-5792.36,220.31,48.11,2.907,10.00,50.0,4.15
87.00,-5790.20,222.24,48.18,2.899,10.00,50.0,4.13
88.00,-5788.05,224.17,48.25,2.891,10.00,50.0,4.10
89.00,-5785.90,226.09,48.31,2.884,10.00,50.0,4.08
90.00,-5783.75,228.00,48.38,2.876,10.00,50.0,4.06
91.00,-5781.60,229.91,48.45,2.868,10.00,50.0,4.04
92.00,-5779.46,231.81,48.52,2.861,10.00,50.0,4.02
93.00,-5777.33,233.70,48.58,2.854,10.00,50.0,4.00
94.00,-5775.19,235.58,48.65,2.847,5.00,50.0,3.92
95.00,-5773.06,237.46,48.71,2.840,5.00,50.0,3.85
96.00,-5770.93,239.33,48.77,2.833,5.00,50.0,3.78
97.00,-5768.80,241.19,48.84,2.826,5.00,50.0,3.71
98.00,-5766.68,243.04,48.90,2.820,5.00,50.0,3.64
99.00,-5764.56,244.89,48.96,2.813,5.00,50.0,3.58
100.00,-5762.44,246.74,49.02,2.807,5.00,50.0,3.52
101.00,-5760.33,248.57,49.07,2.801,5.00,50.0,3.46
102.00,-5758.22,250.40,49.13,2.795,5.00,50.0,3.40
103.00,-5756.11,252.23,49.19,2.789,5.00,50.0,3.34
104.00,-5754.00,254.05,49.24,2.783,5.00,50.0,3.29
105.00,-5751.90,255.86,49.29,2.778,5.00,50.0,3.23
106.00,-5749.80,257.67,49.35,2.772,0.00,50.0,3.13
107.00,-5747.70,259.47,49.40,2.767,0.00,50.0,3.02
108.00,-5745.60,261.27,49.44,2.761,0.00,50.0,2.92
109.00,-5743.51,263.06,49.49,2.756,0.00,50.0,2.82
110.00,-5741.42,264.85,49.54,2.751,0.00,50.0,2.73
111.00,-5739.33,266.63,49.58,2.746,0.00,50.0,2.64
112.00,-5737.24,268.41,49.62,2.741,0.00,50.0,2.55
113.00,-5735.16,270.18,49.67,2.736,0.00,50.0,2.47
114.00,-5733.07,271.95,49.70,2.731,0.00,50.0,2.38
115.00,-5730.99,273.71,49.74,2.727,0.00,50.0,2.30
116.00,-5728.92,275.47,49.78,2.722,0.00,50.0,2.23
117.00,-5726.84,277.23,49.82,2.718,0.00,50.0,2.15
118.00,-5724.77,278.98,49.85,2.713,0.00,50.0,2.08
119.00,-5722.70,280.72,49.88,2.709,0.00,50.0,2.01
120.00,-5720.63,282.47,49.92,2.705,0.00,50.0,1.95
121.00,-5718.56,284.21,49.95,2.701,0.00,50.0,1.88
122.00,-5716.50,285.94,49.98,2.697,0.00,50.0,1.82
123.00,-5714.44,287.67,50.01,2.693,0.00,50.0,1.76
124.00,-5712.38,289.40,50.04,2.689,0.00,50.0,1.70
125.00,-5710.32,291.13,50.06,2.685,0.00,50.0,1.64
126.00,-5708.26,292.85,50.09,2.682,0.00,50.0,1.59
127.00,-5706.21,294.57,50.12,2.678,0.00,50.0,1.53
128.00,-5704.16,296.28,50.14,2.674,0.00,50.0,1.48
129.00,-5702.11,297.99,50.16,2.671,0.00,50.0,1.43
130.00,-5700.06,299.70,50.19,2.668,0.00,50.0,1.39
131.00,-5698.01,301.41,50.21,2.664,0.00,50.0,1.34
132.00,-5695.97,303.11,50.23,2.661,0.00,50.0,1.30
133.00,-5693.92,304.81,50.25,2.658,0.00,50.0,1.25
134.00,-5691.88,306.51,50.27,2.655,0.00,50.0,1.21
135.00,-5689.84,308.20,50.29,2.651,0.00,50.0,1.17
136.00,-5687.81,309.89,50.31,2.648,0.00,50.0,1.13
137.00,-5685.77,311.58,50.33,2.645,0.00,50.0,1.09
138.00,-5683.74,313.27,50.35,2.643,0.00,50.0,1.06
139.00,-5681.70,314.95,50.36,2.640,0.00,50.0,1.02
140.00,-5679.67,316.64,50.38,2.637,0.00,50.0,0.99
141.00,-5677.64,318.32,50.40,2.634,0.00,50.0,0.95
142.00,-5675.62,319.99,50.41,2.631,0.00,50.0,0.92
143.00,-5673.59,321.67,50.43,2.629,0.00,50.0,0.89
144.00,-5671.57,323.34,50.44,2.626,0.00,50.0,0.86
145.00,-5669.54,325.01,50.45,2.624,0.00,50.0,0.83
146.00,-5667.52,326.68,50.47,2.621,0.00,50.0,0.81
147.00,-5665.50,328.35,50.48,2.619,0.00,50.0,0.78
148.00,-5663.48,330.01,50.49,2.616,0.00,50.0,0.75
149.00,-5661.47,331.68,50.51,2.614,0.00,50.0,0.73
150.00,-5659.45,333.34,50.52,2.612,0.00,50.0,0.70
151.00,-5657.44,335.00,50.53,2.610,0.00,50.0,0.68
152.00,-5655.42,336.65,50.54,2.607,0.00,50.0,0.66
153.00,-5653.41,338.31,50.55,2.605,0.00,50.0,0.64
154.00,-5651.40,339.96,50.56,2.603,0.00,50.0,0.61
155.00,-5649.39,341.62,50.57,2.601,0.00,50.0,0.59
156.00,-5647.39,343.27,50.58,2.599,0.00,50.0,0.57
157.00,-5645.38,344.92,50.59,2.597,0.00,50.0,0.55
158.00,-5643.38,346.56,50.60,2.595,0.00,50.0,0.54
159.00,-5641.37,348.21,50.61,2.593,0.00,50.0,0.52
160.00,-5639.37,349.86,50.61,2.591,0.00,50.0,0.50
161.00,-5637.37,351.50,50.62,2.590,0.00,50.0,0.48
162.00,-5635.37,353.14,50.63,2.588,0.00,50.0,0.47
163.00,-5633.37,354.78,50.64,2.586,0.00,50.0,0.45
164.00,-5631.37,356.42,50.65,2.584,0.00,50.0,0.44
165.00,-5629.37,358.06,50.65,2.583,0.00,50.0,0.42
166.00,-5627.38,359.69,50.66,2.581,0.00,50.0,0.41
167.00,-5625.38,361.33,50.67,2.579,0.00,50.0,0.40
168.00,-5623.39,362.96,50.67,2.578,0.00,50.0,0.38
169.00,-5621.40,364.60,50.68,2.576,0.00,50.0,0.37
170.00,-5619.40,366.23,50.68,2.575,0.00,50.0,0.36
171.00,-5617.41,367.86,50.69,2.573,0.00,50.0,0.35
172.00,-5615.42,369.49,50.70,2.572,0.00,50.0,0.33
173.00,-5613.43,371.11,50.70,2.570,0.00,50.0,0.32
174.00,-5611.45,372.74,50.71,2.569,0.00,50.0,0.31
175.00,-5609.46,374.37,50.71,2.567,0.00,50.0,0.30
176.00,-5607.47,375.99,50.72,2.566,0.00,50.0,0.29
177.00,-5605.49,377.62,50.72,2.565,0.00,50.0,0.28
178.00,-5603.50,379.24,50.73,2.564,0.00,50.0,0.27
179.00,-5601.52,380.86,50.73,2.562,0.00,50.0,0.26
180.00,-5599.54,382.48,50.73,2.561,0.00,50.0,0.25
181.00,-5597.56,384.10,50.74,2.560,0.00,50.0,0.25
182.00,-5595.57,385.72,50.74,2.559,0.00,50.0,0.24
183.00,-5593.59,387.34,50.75,2.557,0.00,50.0,0.23
184.00,-5591.62,388.96,50.75,2.556,0.00,50.0,0.22
185.00,-5589.64,390.57,50.75,2.555,0.00,50.0,0.21
186.00,-5587.66,392.19,50.76,2.554,0.00,50.0,0.21
187.00,-5585.68,393.80,50.76,2.553,0.00,50.0,0.20
188.00,-5583.71,395.42,50.76,2.552,0.00,50.0,0.19
189.00,-5581.73,397.03,50.77,2.551,0.00,50.0,0.19
190.00,-5579.75,398.65,50.77,2.550,0.00,50.0,0.18
191.00,-5577.78,400.26,50.77,2.549,0.00,50.0,0.18
192.00,-5575.81,401.87,50.78,2.548,0.00,50.0,0.17
193.00,-5573.83,403.48,50.78,2.547,0.00,50.0,0.16
194.00,-5571.86,405.09,50.78,2.546,0.00,50.0,0.16
195.00,-5569.89,406.70,50.78,2.545,0.00,50.0,0.15
196.00,-5567.92,408.31,50.79,2.544,0.00,50.0,0.15
197.00,-5565.95,409.91,50.79,2.543,0.00,50.0,0.14
198.00,-5563.98,411.52,50.79,2.542,0.00,50.0,0.14
199.00,-5562.01,413.13,50.79,2.542,0.00,50.0,0.13
200.00,-5560.04,414.73,50.79,2.541,0.00,50.0,0.13
201.00,-5558.07,416.34,50.80,2.540,0.00,50.0,0.12
202.00,-5556.10,417.95,50.80,2.539,0.00,50.0,0.12
203.00,-5554.14,419.55,50.80,2.538,0.00,50.0,0.12
204.00,-5552.17,421.15,50.80,2.538,0.00,50.0,0.11
205.00,-5550.20,422.76,50.80,2.537,0.00,50.0,0.11
206.00,-5548.24,424.36,50.81,2.536,0.00,50.0,0.11
207.00,-5546.27,425.96,50.81,2.535,0.00,50.0,0.10
208.00,-5544.31,427.56,50.81,2.535,0.00,50.0,0.10
209.00,-5542.35,429.16,50.81,2.534,0.00,50.0,0.10
210.00,-5540.38,430.77,50.81,2.533,0.00,50.0,0.09
211.00,-5538.42,432.37,50.81,2.533,0.00,50.0,0.09
212.00,-5536.46,433.97,50.82,2.532,0.00,50.0,0.09
213.00,-5534.49,435.56,50.82,2.531,0.00,50.0,0.08
214.00,-5532.53,437.16,50.82,2.531,0.00,50.0,0.08
215.00,-5530.57,438.76,50.82,2.530,0.00,50.0,0.08
216.00,-5528.61,440.36,50.82,2.529,0.00,50.0,0.08
217.00,-5526.65,441.96,50.82,2.529,0.00,50.0,0.07
218.00,-5524.69,443.55,50.82,2.528,0.00,50.0,0.07
219.00,-5522.73,445.15,50.82,2.528,0.00,50.0,0.07
220.00,-5520.77,446.75,50.83,2.527,0.00,50.0,0.07
221.00,-5518.81,448.34,50.83,2.527,0.00,50.0,0.06
