time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,0.00,-3977.47,0.00,4.670,0.00,50.0,0.00
7.00,0.00,-3972.84,0.00,4.627,0.00,50.0,0.00
8.00,0.00,-3968.26,0.00,4.584,0.00,50.0,0.00
9.00,0.00,-3963.72,0.00,4.543,0.00,50.0,0.00
10.00,0.00,-3959.21,0.00,4.502,0.00,50.0,0.00
11.00,0.00,-3954.75,0.00,4.462,0.00,50.0,0.00
12.00,0.00,-3950.33,0.00,4.423,0.00,50.0,0.00
13.00,0.00,-3945.95,0.00,4.384,0.00,50.0,0.00
14.00,0.00,-3941.60,0.00,4.346,0.00,50.0,0.00
15.00,0.00,-3937.29,0.00,4.309,0.00,50.0,0.00
16.00,0.00,-3933.02,0.00,4.273,0.00,50.0,0.00
17.00,0.00,-3928.78,0.00,4.238,0.00,50.0,0.00
18.00,0.00,-3924.58,0.00,4.203,0.00,50.0,0.00
19.00,0.00,-3920.41,0.00,4.169,0.00,50.0,0.00
20.00,0.00,-3916.27,0.00,4.136,0.00,50.0,0.00
21.00,0.00,-3912.17,0.00,4.103,0.00,50.0,0.00
22.00,0.00,-3908.10,0.00,4.071,0.00,50.0,0.00
23.00,0.00,-3904.06,0.00,4.039,0.00,50.0,0.00
24.00,0.00,-3900.05,0.00,4.009,0.00,50.0,0.00
25.00,0.00,-3896.07,0.00,3.978,0.00,50.0,0.00
26.00,0.00,-3892.12,0.00,3.949,0.00,50.0,0.00
27.00,0.00,-3888.20,0.00,3.920,0.00,50.0,0.00
28.00,0.00,-3884.31,0.00,3.892,0.00,50.0,0.00
29.00,0.00,-3880.45,0.00,3.864,0.00,50.0,0.00
30.00,0.00,-3876.61,0.00,3.836,5.00,50.0,0.06
31.00,0.00,-3872.80,0.00,3.810,5.00,50.0,0.11
32.00,0.00,-3869.02,0.01,3.784,5.00,50.0,0.17
33.00,0.00,-3865.26,0.01,3.758,5.00,50.0,0.22
34.00,0.00,-3861.53,0.01,3.733,5.00,50.0,0.27
35.00,0.00,-3857.82,0.02,3.708,5.00,50.0,0.32
36.00,0.00,-3854.13,0.02,3.684,5.00,50.0,0.36
37.00,0.00,-3850.47,0.03,3.660,5.00,50.0,0.41
38.00,0.01,-3846.84,0.04,3.637,10.00,50.0,0.51
39.00,0.01,-3843.22,0.05,3.614,10.00,50.0,0.61
40.00,0.01,-3839.63,0.06,3.592,10.00,50.0,0.70
41.00,0.02,-3836.06,0.08,3.570,10.00,50.0,0.79
42.00,0.02,-3832.51,0.09,3.549,10.00,50.0,0.88
43.00,0.03,-3828.98,0.11,3.528,10.00,50.0,0.96
44.00,0.03,-3825.48,0.12,3.507,10.00,50.0,1.05
45.00,0.04,-3821.99,0.14,3.487,10.00,50.0,1.12
46.00,0.05,-3818.52,0.16,3.467,15.00,50.0,1.26
47.00,0.06,-3815.08,0.19,3.448,15.00,50.0,1.39
48.00,0.07,-3811.65,0.21,3.429,15.00,50.0,1.51
49.00,0.08,-3808.24,0.24,3.410,15.00,50.0,1.63
50.00,0.10,-3804.84,0.27,3.392,15.00,50.0,1.75
51.00,0.11,-3801.47,0.30,3.374,15.00,50.0,1.86
52.00,0.13,-3798.11,0.33,3.357,15.00,50.0,1.97
53.00,0.15,-3794.77,0.37,3.340,15.00,50.0,2.08
54.00,0.17,-3791.45,0.40,3.323,15.00,50.0,2.18
55.00,0.19,-3788.14,0.44,3.306,20.00,50.0,2.34
56.00,0.22,-3784.85,0.48,3.290,20.00,50.0,2.49
57.00,0.25,-3781.58,0.53,3.275,20.00,50.0,2.63
58.00,0.28,-3778.32,0.57,3.259,20.00,50.0,2.77
59.00,0.31,-3775.08,0.62,3.244,20.00,50.0,2.91
60.00,0.34,-3771.85,0.67,3.229,20.00,50.0,3.04
61.00,0.38,-3768.63,0.73,3.214,20.00,50.0,3.17
62.00,0.42,-3765.43,0.78,3.200,20.00,50.0,3.29
63.00,0.47,-3762.25,0.84,3.186,20.00,50.0,3.41
64.00,0.51,-3759.08,0.90,3.172,20.00,50.0,3.53
65.00,0.56,-3755.92,0.96,3.159,20.00,50.0,3.64
66.00,0.61,-3752.77,1.02,3.146,20.00,50.0,3.74
67.00,0.67,-3749.64,1.08,3.133,20.00,50.0,3.85
68.00,0.73,-3746.52,1.15,3.120,20.00,50.0,3.95
69.00,0.79,-3743.41,1.22,3.108,20.00,50.0,4.05
70.00,0.86,-3740.32,1.29,3.096,20.00,50.0,4.14
71.00,0.93,-3737.23,1.36,3.084,20.00,50.0,4.23
72.00,1.00,-3734.16,1.43,3.072,20.00,50.0,4.32
73.00,1.08,-3731.10,1.50,3.061,20.00,50.0,4.40
74.00,1.15,-3728.05,1.58,3.049,20.00,50.0,4.48
75.00,1.24,-3725.02,1.65,3.038,20.00,50.0,4.56
76.00,1.33,-3721.99,1.73,3.028,20.00,50.0,4.64
77.00,1.42,-3718.98,1.81,3.017,20.00,50.0,4.71
78.00,1.51,-3715.97,1.89,3.007,20.00,50.0,4.78
79.00,1.61,-3712.98,1.97,2.997,20.00,50.0,4.85
80.00,1.71,-3709.99,2.05,2.987,20.00,50.0,4.92
81.00,1.82,-3707.02,2.13,2.977,20.00,50.0,4.99
82.00,1.93,-3704.05,2.22,2.967,20.00,50.0,5.05
83.00,2.04,-3701.09,2.30,2.958,20.00,50.0,5.11
84.00,2.16,-3698.15,2.39,2.949,20.00,50.0,5.17
85.00,2.29,-3695.21,2.48,2.940,20.00,50.0,5.22
86.00,2.41,-3692.28,2.56,2.931,20.00,50.0,5.28
87.00,2.54,-3689.36,2.65,2.923,20.00,50.0,5.33
88.00,2.68,-3686.45,2.74,2.914,20.00,50.0,5.38
89.00,2.82,-3683.55,2.83,2.906,20.00,50.0,5.43
90.00,2.96,-3680.65,2.92,2.898,20.00,50.0,5.48
91.00,3.11,-3677.77,3.02,2.890,20.00,50.0,5.52
92.00,3.26,-3674.89,3.11,2.882,20.00,50.0,5.57
93.00,3.41,-3672.02,3.20,2.874,20.00,50.0,5.61
94.00,3.57,-3669.16,3.30,2.867,20.00,50.0,5.65
95.00,3.74,-3666.30,3.39,2.859,20.00,50.0,5.69
96.00,3.91,-3663.46,3.49,2.852,20.00,50.0,5.73
