time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,-5996.95,21.59,45.00,4.658,5.00,40.0,0.06
6.00,-5993.70,24.84,45.00,4.604,5.00,40.0,0.11
7.00,-5990.48,28.06,45.01,4.552,5.00,40.0,0.17
8.00,-5987.30,31.24,45.01,4.501,5.00,40.0,0.22
9.00,-5984.15,34.39,45.01,4.451,5.00,40.0,0.27
10.00,-5981.03,37.50,45.02,4.402,5.00,40.0,0.32
11.00,-5977.95,40.59,45.03,4.364,10.00,50.0,0.42
12.00,-5974.89,43.65,45.03,4.327,10.00,50.0,0.52
13.00,-5971.85,46.68,45.04,4.290,10.00,50.0,0.62
14.00,-5968.84,49.68,45.06,4.255,10.00,50.0,0.71
15.00,-5965.85,52.67,45.07,4.219,10.00,50.0,0.80
16.00,-5962.89,55.62,45.08,4.185,10.00,50.0,0.89
17.00,-5959.95,58.55,45.10,4.151,15.00,50.0,1.03
18.00,-5957.03,61.46,45.12,4.118,15.00,50.0,1.17
19.00,-5954.14,64.34,45.14,4.086,15.00,50.0,1.30
20.00,-5951.26,67.20,45.17,4.054,15.00,50.0,1.43
21.00,-5948.41,70.04,45.19,4.023,15.00,50.0,1.55
22.00,-5945.58,72.85,45.22,3.993,15.00,50.0,1.67
23.00,-5942.77,75.64,45.25,3.963,15.00,50.0,1.79
24.00,-5939.97,78.41,45.28,3.934,20.00,50.0,1.96
25.00,-5937.20,81.16,45.32,3.905,20.00,50.0,2.12
26.00,-5934.44,83.89,45.36,3.877,20.00,50.0,2.28
27.00,-5931.70,86.59,45.40,3.849,20.00,50.0,2.43
28.00,-5928.98,89.27,45.44,3.822,20.00,50.0,2.58
29.00,-5926.28,91.94,45.49,3.796,20.00,50.0,2.72
30.00,-5923.59,94.58,45.53,3.770,20.00,50.0,2.86
31.00,-5920.92,97.20,45.58,3.745,20.00,50.0,2.99
32.00,-5918.26,99.81,45.63,3.720,20.00,50.0,3.12
33.00,-5915.62,102.39,45.69,3.695,20.00,50.0,3.24
34.00,-5912.99,104.96,45.74,3.671,20.00,50.0,3.37
35.00,-5910.38,107.50,45.80,3.648,20.00,50.0,3.48
36.00,-5907.78,110.03,45.86,3.625,20.00,50.0,3.59
37.00,-5905.19,112.54,45.92,3.602,20.00,50.0,3.70
38.00,-5902.62,115.03,45.99,3.580,20.00,50.0,3.81
39.00,-5900.06,117.50,46.05,3.559,20.00,50.0,3.91
40.00,-5897.51,119.96,46.12,3.538,20.00,50.0,4.01
41.00,-5894.98,122.39,46.19,3.517,20.00,50.0,4.10
42.00,-5892.46,124.81,46.26,3.497,20.00,50.0,4.19
43.00,-5889.94,127.22,46.33,3.477,20.00,50.0,4.28
44.00,-5887.44,129.60,46.40,3.457,20.00,50.0,4.37
45.00,-5884.95,131.98,46.48,3.438,20.00,50.0,4.45
46.00,-5882.47,134.33,46.55,3.419,20.00,50.0,4.53
47.00,-5880.01,136.67,46.63,3.401,20.00,50.0,4.61
48.00,-5877.55,138.99,46.71,3.383,20.00,50.0,4.68
49.00,-5875.10,141.30,46.79,3.365,20.00,50.0,4.76
50.00,-5872.66,143.59,46.87,3.348,20.00,50.0,4.83
51.00,-5870.23,145.87,46.95,3.331,20.00,50.0,4.89
52.00,-5867.81,148.13,47.03,3.314,20.00,50.0,4.96
53.00,-5865.39,150.38,47.11,3.298,20.00,50.0,5.02
54.00,-5862.99,152.61,47.20,3.282,20.00,50.0,5.08
55.00,-5860.59,154.83,47.29,3.266,20.00,50.0,5.14
56.00,-5858.20,157.04,47.37,3.251,20.00,50.0,5.20
57.00,-5855.82,159.23,47.46,3.236,20.00,50.0,5.26
58.00,-5853.45,161.41,47.55,3.221,20.00,50.0,5.31
59.00,-5851.08,163.57,47.64,3.207,20.00,50.0,5.36
60.00,-5848.72,165.72,47.73,3.193,20.00,50.0,5.41
61.00,-5846.37,167.86,47.82,3.179,20.00,50.0,5.46
62.00,-5844.02,169.99,47.91,3.165,20.00,50.0,5.51
63.00,-5841.69,172.10,48.00,3.152,20.00,50.0,5.55
64.00,-5839.35,174.20,48.10,3.139,20.00,50.0,5.59
65.00,-5837.03,176.29,48.19,3.126,20.00,50.0,5.64
66.00,-5834.71,178.36,48.28,3.114,20.00,50.0,5.68
67.00,-5832.39,180.43,48.38,3.101,20.00,50.0,5.72
68.00,-5830.08,182.48,48.48,3.089,20.00,50.0,5.75
69.00,-5827.78,184.52,48.57,3.078,20.00,50.0,5.79
70.00,-5825.48,186.55,48.67,3.066,20.00,50.0,5.83
71.00,-5823.18,188.57,48.77,3.055,20.00,50.0,5.86
72.00,-5820.89,190.57,48.87,3.044,20.00,50.0,5.89
73.00,-5818.61,192.57,48.96,3.033,20.00,50.0,5.93
74.00,-5816.33,194.55,49.06,3.022,20.00,50.0,5.96
75.00,-5814.06,196.52,49.16,3.012,20.00,50.0,5.99
76.00,-5811.79,198.49,49.26,3.001,20.00,50.0,6.02
77.00,-5809.52,200.44,49.36,2.991,20.00,50.0,6.04
78.00,-5807.26,202.38,49.47,2.982,20.00,50.0,6.07
79.00,-5805.00,204.31,49.57,2.972,20.00,50.0,6.10
80.00,-5802.74,206.23,49.67,2.962,20.00,50.0,6.12
81.00,-5800.49,208.14,49.77,2.953,20.00,50.0,6.15
82.00,-5798.24,210.05,49.87,2.944,20.00,50.0,6.17
83.00,-5796.00,211.94,49.98,2.935,20.00,50.0,6.19
84.00,-5793.76,213.82,50.08,2.927,20.00,50.0,6.22
85.00,-5791.52,215.69,50.19,2.918,20.00,50.0,6.24
86.00,-5789.28,217.56,50.29,2.910,20.00,50.0,6.26
87.00,-5787.05,219.41,50.39,2.901,20.00,50.0,6.28
88.00,-5784.82,221.25,50.50,2.893,20.00,50.0,6.30
89.00,-5782.60,223.09,50.60,2.886,20.00,50.0,6.32
90.00,-5780.37,224.92,50.71,2.878,20.00,50.0,6.33
91.00,-5778.15,226.73,50.82,2.870,20.00,50.0,6.35
92.00,-5775.93,228.54,50.92,2.863,20.00,50.0,6.37
93.00,-5773.72,230.34,51.03,2.856,20.00,50.0,6.38
94.00,-5771.50,232.13,51.14,2.849,20.00,50.0,6.40
95.00,-5769.29,233.92,51.24,2.842,20.00,50.0,6.42
96.00,-5767.08,235.69,51.35,2.835,20.00,50.0,6.43
97.00,-5764.87,237.46,51.46,2.828,20.00,50.0,6.44
98.00,-5762.66,239.22,51.56,2.821,20.00,50.0,6.46
99.00,-5760.46,240.97,51.67,2.815,20.00,50.0,6.47
100.00,-5758.25,242.71,51.78,2.809,20.00,50.0,6.48
101.00,-5756.05,244.44,51.89,2.803,20.00,50.0,6.50
102.00,-5753.85,246.17,52.00,2.797,20.00,50.0,6.51
103.00,-5751.65,247.89,52.11,2.791,20.00,50.0,6.52
104.00,-5749.46,249.60,52.21,2.785,20.00,50.0,6.53
105.00,-5747.26,251.30,52.32,2.779,20.00,50.0,6.54
106.00,-5745.06,252.99,52.43,2.774,20.00,50.0,6.55
107.00,-5742.87,254.68,52.54,2.768,20.00,50.0,6.56
108.00,-5740.68,256.36,52.65,2.763,20.00,50.0,6.57
109.00,-5738.49,258.03,52.76,2.757,20.00,50.0,6.58
110.00,-5736.29,259.70,52.87,2.752,20.00,50.0,6.59
111.00,-5734.10,261.36,52.98,2.747,20.00,50.0,6.60
112.00,-5731.91,263.01,53.09,2.742,20.00,50.0,6.61
