time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,-5996.95,21.59,45.00,4.658,0.00,40.0,0.00
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.29,31.25,45.00,4.511,5.00,50.0,0.06
9.00,-5984.13,34.41,45.00,4.471,5.00,50.0,0.11
10.00,-5980.99,37.55,45.01,4.432,5.00,50.0,0.17
11.00,-5977.89,40.65,45.01,4.393,5.00,50.0,0.22
12.00,-5974.81,43.73,45.01,4.355,5.00,50.0,0.27
13.00,-5971.75,46.78,45.02,4.318,5.00,50.0,0.32
14.00,-5968.72,49.81,45.02,4.282,5.00,50.0,0.36
15.00,-5965.72,52.81,45.03,4.246,5.00,50.0,0.41
16.00,-5962.74,55.79,45.04,4.211,10.00,50.0,0.51
17.00,-5959.79,58.74,45.05,4.177,10.00,50.0,0.61
18.00,-5956.85,61.67,45.06,4.143,10.00,50.0,0.70
19.00,-5953.94,64.57,45.08,4.110,10.00,50.0,0.79
20.00,-5951.06,67.45,45.09,4.078,10.00,50.0,0.88
21.00,-5948.19,70.31,45.11,4.047,10.00,50.0,0.96
22.00,-5945.35,73.14,45.12,4.016,10.00,50.0,1.05
23.00,-5942.52,75.95,45.14,3.985,10.00,50.0,1.12
24.00,-5939.72,78.74,45.16,3.956,10.00,50.0,1.20
25.00,-5936.93,81.51,45.18,3.927,15.00,50.0,1.33
26.00,-5934.17,84.26,45.21,3.898,15.00,50.0,1.46
27.00,-5931.42,86.99,45.23,3.870,15.00,50.0,1.58
28.00,-5928.69,89.69,45.26,3.843,15.00,50.0,1.70
29.00,-5925.98,92.38,45.29,3.816,15.00,50.0,1.82
30.00,-5923.29,95.04,45.33,3.790,15.00,50.0,1.93
31.00,-5920.61,97.69,45.36,3.764,15.00,50.0,2.03
32.00,-5917.95,100.32,45.40,3.738,15.00,50.0,2.14
33.00,-5915.31,102.93,45.43,3.714,20.00,50.0,2.30
34.00,-5912.68,105.51,45.47,3.689,20.00,50.0,2.45
35.00,-5910.07,108.08,45.52,3.666,20.00,50.0,2.59
36.00,-5907.47,110.64,45.56,3.642,20.00,50.0,2.74
37.00,-5904.88,113.17,45.61,3.619,20.00,50.0,2.87
38.00,-5902.31,115.69,45.66,3.597,20.00,50.0,3.01
39.00,-5899.76,118.19,45.71,3.575,20.00,50.0,3.13
40.00,-5897.21,120.67,45.77,3.554,20.00,50.0,3.26
41.00,-5894.68,123.13,45.82,3.533,20.00,50.0,3.38
42.00,-5892.16,125.58,45.88,3.512,20.00,50.0,3.49
43.00,-5889.66,128.01,45.94,3.492,20.00,50.0,3.61
44.00,-5887.16,130.42,46.00,3.472,20.00,50.0,3.72
45.00,-5884.68,132.82,46.07,3.452,20.00,50.0,3.82
46.00,-5882.20,135.20,46.13,3.433,20.00,50.0,3.92
47.00,-5879.74,137.57,46.20,3.415,20.00,50.0,4.02
48.00,-5877.29,139.92,46.27,3.396,20.00,50.0,4.11
49.00,-5874.85,142.26,46.34,3.378,20.00,50.0,4.21
50.00,-5872.42,144.58,46.41,3.361,20.00,50.0,4.29
51.00,-5870.00,146.88,46.48,3.344,20.00,50.0,4.38
52.00,-5867.58,149.17,46.56,3.327,20.00,50.0,4.46
53.00,-5865.18,151.45,46.63,3.310,20.00,50.0,4.54
54.00,-5862.79,153.71,46.71,3.294,20.00,50.0,4.62
55.00,-5860.40,155.96,46.79,3.278,20.00,50.0,4.69
56.00,-5858.02,158.19,46.87,3.263,20.00,50.0,4.77
57.00,-5855.65,160.41,46.95,3.247,20.00,50.0,4.84
58.00,-5853.29,162.62,47.03,3.232,20.00,50.0,4.90
59.00,-5850.94,164.81,47.11,3.218,20.00,50.0,4.97
60.00,-5848.59,166.99,47.20,3.203,20.00,50.0,5.03
61.00,-5846.25,169.16,47.28,3.189,20.00,50.0,5.09
62.00,-5843.92,171.31,47.37,3.176,20.00,50.0,5.15
63.00,-5841.59,173.46,47.45,3.162,20.00,50.0,5.21
64.00,-5839.27,175.59,47.54,3.149,20.00,50.0,5.26
65.00,-5836.96,177.70,47.63,3.136,20.00,50.0,5.32
66.00,-5834.65,179.81,47.72,3.123,20.00,50.0,5.37
67.00,-5832.35,181.90,47.81,3.111,20.00,50.0,5.42
68.00,-5830.05,183.98,47.90,3.098,20.00,50.0,5.46
69.00,-5827.76,186.05,47.99,3.086,20.00,50.0,5.51
70.00,-5825.48,188.11,48.09,3.075,20.00,50.0,5.56
71.00,-5823.20,190.15,48.18,3.063,20.00,50.0,5.60
72.00,-5820.92,192.19,48.27,3.052,20.00,50.0,5.64
73.00,-5818.65,194.21,48.37,3.041,20.00,50.0,5.68
74.00,-5816.39,196.23,48.46,3.030,20.00,50.0,5.72
75.00,-5814.13,198.23,48.56,3.020,15.00,50.0,5.70
76.00,-5811.87,200.22,48.65,3.009,15.00,50.0,5.68
77.00,-5809.62,202.20,48.75,2.999,15.00,50.0,5.66
78.00,-5807.37,204.17,48.84,2.989,15.00,50.0,5.65
79.00,-5805.13,206.13,48.94,2.979,15.00,50.0,5.63
80.00,-5802.89,208.08,49.03,2.970,15.00,50.0,5.61
81.00,-5800.66,210.02,49.12,2.960,15.00,50.0,5.60
82.00,-5798.42,211.96,49.21,2.951,10.00,50.0,5.53
83.00,-5796.20,213.88,49.31,2.942,10.00,50.0,5.46
84.00,-5793.97,215.79,49.40,2.933,10.00,50.0,5.39
85.00,-5791.75,217.69,49.48,2.924,10.00,50.0,5.32
86.00,-5789.54,219.59,49.57,2.916,10.00,50.0,5.26
87.00,-5787.32,221.47,49.66,2.908,10.00,50.0,5.20
88.00,-5785.11,223.35,49.74,2.900,10.00,50.0,5.14
89.00,-5782.91,225.22,49.83,2.892,10.00,50.0,5.08
90.00,-5780.70,227.08,49.91,2.884,10.00,50.0,5.03
91.00,-5778.50,228.93,49.99,2.876,5.00,50.0,4.92
92.00,-5776.30,230.77,50.07,2.869,5.00,50.0,4.81
93.00,-5774.11,232.61,50.15,2.861,5.00,50.0,4.71
94.00,-5771.92,234.44,50.23,2.854,5.00,50.0,4.61
95.00,-5769.73,236.26,50.31,2.847,5.00,50.0,4.51
96.00,-5767.55,238.07,50.38,2.840,5.00,50.0,4.42
97.00,-5765.36,239.88,50.45,2.833,5.00,50.0,4.33
98.00,-5763.18,241.68,50.52,2.826,5.00,50.0,4.24
99.00,-5761.01,243.47,50.59,2.820,0.00,50.0,4.10
100.00,-5758.83,245.26,50.66,2.814,0.00,50.0,3.96
101.00,-5756.66,247.04,50.72,2.807,0.00,50.0,3.83
102.00,-5754.49,248.81,50.78,2.801,0.00,50.0,3.70
103.00,-5752.33,250.58,50.84,2.795,0.00,50.0,3.58
104.00,-5750.17,252.34,50.90,2.789,0.00,50.0,3.46
105.00,-5748.01,254.10,50.95,2.783,0.00,50.0,3.34
106.00,-5745.85,255.85,51.01,2.778,0.00,50.0,3.23
107.00,-5743.69,257.59,51.06,2.772,0.00,50.0,3.13
108.00,-5741.54,259.33,51.11,2.767,0.00,50.0,3.02
109.00,-5739.39,261.06,51.16,2.761,0.00,50.0,2.92
110.00,-5737.25,262.79,51.21,2.756,0.00,50.0,2.82
111.00,-5735.10,264.52,51.25,2.751,0.00,50.0,2.73
112.00,-5732.96,266.23,51.30,2.746,0.00,50.0,2.64
113.00,-5730.82,267.95,51.34,2.741,0.00,50.0,2.55
114.00,-5728.68,269.66,51.38,2.736,0.00,50.0,2.47
115.00,-5726.55,271.36,51.42,2.732,0.00,50.0,2.38
116.00,-5724.42,273.06,51.46,2.727,0.00,50.0,2.30
117.00,-5722.29,274.76,51.50,2.722,0.00,50.0,2.23
118.00,-5720.16,276.45,51.53,2.718,0.00,50.0,2.15
119.00,-5718.04,278.14,51.57,2.714,0.00,50.0,2.08
120.00,-5715.92,279.82,51.60,2.709,0.00,50.0,2.01
121.00,-5713.80,281.50,51.63,2.705,0.00,50.0,1.94
122.00,-5711.68,283.18,51.66,2.701,0.00,50.0,1.88
123.00,-5709.56,284.85,51.69,2.697,0.00,50.0,1.82
124.00,-5707.45,286.52,51.72,2.693,0.00,50.0,1.76
125.00,-5705.34,288.19,51.75,2.689,0.00,50.0,1.70
126.00,-5703.23,289.85,51.78,2.685,0.00,50.0,1.64
127.00,-5701.12,291.51,51.80,2.682,0.00,50.0,1.59
128.00,-5699.02,293.17,51.83,2.678,0.00,50.0,1.53
129.00,-5696.92,294.82,51.85,2.675,0.00,50.0,1.48
130.00,-5694.81,296.47,51.88,2.671,0.00,50.0,1.43
131.00,-5692.72,298.12,51.90,2.668,0.00,50.0,1.39
132.00,-5690.62,299.76,51.92,2.664,0.00,50.0,1.34
133.00,-5688.52,301.40,51.95,2.661,0.00,50.0,1.29
134.00,-5686.43,303.04,51.97,2.658,0.00,50.0,1.25
135.00,-5684.34,304.67,51.99,2.655,0.00,50.0,1.21
136.00,-5682.25,306.31,52.01,2.651,0.00,50.0,1.17
137.00,-5680.16,307.94,52.03,2.648,0.00,50.0,1.13
138.00,-5678.08,309.57,52.04,2.645,0.00,50.0,1.09
139.00,-5676.00,311.19,52.06,2.643,0.00,50.0,1.06
140.00,-5673.91,312.81,52.08,2.640,0.00,50.0,1.02
141.00,-5671.83,314.43,52.09,2.637,0.00,50.0,0.99
142.00,-5669.76,316.05,52.11,2.634,0.00,50.0,0.95
143.00,-5667.68,317.67,52.13,2.632,0.00,50.0,0.92
144.00,-5665.60,319.28,52.14,2.629,0.00,50.0,0.89
145.00,-5663.53,320.90,52.15,2.626,0.00,50.0,0.86
146.00,-5661.46,322.50,52.17,2.624,0.00,50.0,0.83
147.00,-5659.39,324.11,52.18,2.621,0.00,50.0,0.81
148.00,-5657.32,325.72,52.20,2.619,0.00,50.0,0.78
149.00,-5655.25,327.32,52.21,2.617,0.00,50.0,0.75
150.00,-5653.19,328.92,52.22,2.614,0.00,50.0,0.73
151.00,-5651.12,330.52,52.23,2.612,0.00,50.0,0.70
152.00,-5649.06,332.12,52.24,2.610,0.00,50.0,0.68
153.00,-5647.00,333.72,52.25,2.607,0.00,50.0,0.66
154.00,-5644.94,335.31,52.26,2.605,0.00,50.0,0.64
155.00,-5642.88,336.91,52.27,2.603,0.00,50.0,0.61
156.00,-5640.82,338.50,52.28,2.601,0.00,50.0,0.59
157.00,-5638.76,340.09,52.29,2.599,0.00,50.0,0.57
158.00,-5636.71,341.68,52.30,2.597,0.00,50.0,0.55
159.00,-5634.66,343.26,52.31,2.595,0.00,50.0,0.54
160.00,-5632.60,344.85,52.32,2.593,0.00,50.0,0.52
161.00,-5630.55,346.43,52.33,2.591,0.00,50.0,0.50
162.00,-5628.50,348.02,52.34,2.590,0.00,50.0,0.48
163.00,-5626.45,349.60,52.35,2.588,0.00,50.0,0.47
164.00,-5624.41,351.18,52.35,2.586,0.00,50.0,0.45
165.00,-5622.36,352.76,52.36,2.584,0.00,50.0,0.44
166.00,-5620.32,354.33,52.37,2.583,0.00,50.0,0.42
167.00,-5618.27,355.91,52.37,2.581,0.00,50.0,0.41
168.00,-5616.23,357.48,52.38,2.579,0.00,50.0,0.40
169.00,-5614.19,359.06,52.39,2.578,0.00,50.0,0.38
170.00,-5612.15,360.63,52.39,2.576,0.00,50.0,0.37
171.00,-5610.11,362.20,52.40,2.575,0.00,50.0,0.36
172.00,-5608.07,363.77,52.40,2.573,0.00,50.0,0.35
173.00,-5606.03,365.34,52.41,2.572,0.00,50.0,0.33
174.00,-5603.99,366.91,52.42,2.570,0.00,50.0,0.32
175.00,-5601.96,368.47,52.42,2.569,0.00,50.0,0.31
176.00,-5599.92,370.04,52.43,2.568,0.00,50.0,0.30
177.00,-5597.89,371.61,52.43,2.566,0.00,50.0,0.29
178.00,-5595.86,373.17,52.44,2.565,0.00,50.0,0.28
179.00,-5593.82,374.73,52.44,2.564,0.00,50.0,0.27
180.00,-5591.79,376.29,52.44,2.562,0.00,50.0,0.26
181.00,-5589.76,377.85,52.45,2.561,0.00,50.0,0.25
182.00,-5587.73,379.41,52.45,2.560,0.00,50.0,0.25
183.00,-5585.71,380.97,52.46,2.559,0.00,50.0,0.24
184.00,-5583.68,382.53,52.46,2.557,0.00,50.0,0.23
185.00,-5581.65,384.09,52.46,2.556,0.00,50.0,0.22
186.00,-5579.62,385.65,52.47,2.555,0.00,50.0,0.21
187.00,-5577.60,387.20,52.47,2.554,0.00,50.0,0.21
188.00,-5575.57,388.76,52.47,2.553,0.00,50.0,0.20
189.00,-5573.55,390.31,52.48,2.552,0.00,50.0,0.19
190.00,-5571.53,391.87,52.48,2.551,0.00,50.0,0.19
191.00,-5569.50,393.42,52.48,2.550,0.00,50.0,0.18
192.00,-5567.48,394.97,52.49,2.549,0.00,50.0,0.18
193.00,-5565.46,396.52,52.49,2.548,0.00,50.0,0.17
194.00,-5563.44,398.07,52.49,2.547,0.00,50.0,0.16
195.00,-5561.42,399.62,52.49,2.546,0.00,50.0,0.16
196.00,-5559.40,401.17,52.50,2.545,0.00,50.0,0.15
197.00,-5557.38,402.72,52.50,2.544,0.00,50.0,0.15
198.00,-5555.37,404.27,52.50,2.543,0.00,50.0,0.14
199.00,-5553.35,405.82,52.50,2.542,0.00,50.0,0.14
200.00,-5551.33,407.37,52.51,2.542,0.00,50.0,0.13
201.00,-5549.32,408.91,52.51,2.541,0.00,50.0,0.13
202.00,-5547.30,410.46,52.51,2.540,0.00,50.0,0.12
203.00,-5545.29,412.00,52.51,2.539,0.00,50.0,0.12
204.00,-5543.27,413.55,52.52,2.538,0.00,50.0,0.12
205.00,-5541.26,415.09,52.52,2.538,0.00,50.0,0.11
206.00,-5539.25,416.64,52.52,2.537,0.00,50.0,0.11
207.00,-5537.23,418.18,52.52,2.536,0.00,50.0,0.11
208.00,-5535.22,419.72,52.52,2.535,0.00,50.0,0.10
209.00,-5533.21,421.26,52.52,2.535,0.00,50.0,0.10
210.00,-5531.20,422.81,52.53,2.534,0.00,50.0,0.10
211.00,-5529.19,424.35,52.53,2.533,0.00,50.0,0.09
212.00,-5527.18,425.89,52.53,2.533,0.00,50.0,0.09
213.00,-5525.17,427.43,52.53,2.532,0.00,50.0,0.09
214.00,-5523.16,428.97,52.53,2.531,0.00,50.0,0.08
215.00,-5521.15,430.51,52.53,2.531,0.00,50.0,0.08
216.00,-5519.14,432.05,52.53,2.530,0.00,50.0,0.08
217.00,-5517.14,433.59,52.54,2.529,0.00,50.0,0.08
218.00,-5515.13,435.12,52.54,2.529,0.00,50.0,0.07
219.00,-5513.12,436.66,52.54,2.528,0.00,50.0,0.07
220.00,-5511.12,438.20,52.54,2.528,0.00,50.0,0.07
221.00,-5509.11,439.74,52.54,2.527,0.00,50.0,0.07
