time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
6.00,2005.79,-1981.97,340.00,4.670,0.00,50.0
7.00,2004.21,-1977.62,340.00,4.627,0.00,50.0
8.00,2002.64,-1973.32,340.00,4.584,0.00,50.0
9.00,2001.09,-1969.05,340.00,4.543,0.00,50.0
10.00,1999.55,-1964.82,340.00,4.502,0.00,50.0
11.00,1998.02,-1960.62,340.00,4.462,0.00,50.0
12.00,1996.51,-1956.47,340.00,4.423,0.00,50.0
13.00,1995.01,-1952.35,340.00,4.384,0.00,50.0
14.00,1993.53,-1948.26,340.00,4.346,0.00,50.0
15.00,1992.05,-1944.22,340.00,4.309,0.00,50.0
16.00,1990.59,-1940.20,340.00,4.273,0.00,50.0
17.00,1989.14,-1936.22,340.00,4.238,0.00,50.0
18.00,1987.70,-1932.27,340.00,4.203,0.00,50.0
19.00,1986.28,-1928.35,340.00,4.169,0.00,50.0
20.00,1984.86,-1924.46,340.00,4.136,0.00,50.0
21.00,1983.46,-1920.61,340.00,4.103,0.00,50.0
22.00,1982.07,-1916.78,340.00,4.071,0.00,50.0
23.00,1980.69,-1912.99,340.00,4.039,0.00,50.0
24.00,1979.32,-1909.22,340.00,4.009,0.00,50.0
25.00,1977.95,-1905.48,340.00,3.978,5.00,50.0
26.00,1976.60,-1901.77,340.00,3.949,5.00,50.0
27.00,1975.26,-1898.09,340.01,3.920,5.00,50.0
28.00,1973.93,-1894.43,340.01,3.892,5.00,50.0
29.00,1972.61,-1890.80,340.01,3.864,5.00,50.0
30.00,1971.30,-1887.19,340.02,3.836,5.00,50.0
31.00,1970.00,-1883.61,340.02,3.810,5.00,50.0
32.00,1968.71,-1880.06,340.03,3.784,5.00,50.0
33.00,1967.42,-1876.53,340.04,3.758,5.00,50.0
34.00,1966.15,-1873.02,340.05,3.733,5.00,50.0
35.00,1964.88,-1869.53,340.06,3.708,5.00,50.0
36.00,1963.63,-1866.07,340.07,3.684,5.00,50.0
37.00,1962.38,-1862.63,340.08,3.660,5.00,50.0
38.00,1961.14,-1859.21,340.09,3.637,5.00,50.0
39.00,1959.91,-1855.81,340.10,3.614,5.00,50.0
40.00,1958.69,-1852.43,340.11,3.592,5.00,50.0
41.00,1957.47,-1849.08,340.12,3.570,5.00,50.0
42.00,1956.26,-1845.74,340.14,3.549,5.00,50.0
43.00,1955.07,-1842.43,340.15,3.518,10.00,40.0
44.00,1953.89,-1839.15,340.17,3.487,10.00,40.0
45.00,1952.71,-1835.90,340.18,3.458,10.00,40.0
46.00,1951.55,-1832.67,340.20,3.428,10.00,40.0
47.00,1950.40,-1829.47,340.22,3.400,10.00,40.0
48.00,1949.26,-1826.30,340.24,3.372,10.00,40.0
49.00,1948.13,-1823.15,340.27,3.344,10.00,40.0
50.00,1947.01,-1820.03,340.29,3.318,10.00,40.0
51.00,1945.90,-1816.93,340.31,3.291,10.00,40.0
52.00,1944.80,-1813.86,340.34,3.265,10.00,40.0
53.00,1943.71,-1810.81,340.37,3.240,10.00,40.0
54.00,1942.63,-1807.78,340.39,3.215,10.00,40.0
55.00,1941.56,-1804.77,340.42,3.191,10.00,40.0
56.00,1940.49,-1801.79,340.45,3.167,10.00,40.0
57.00,1939.44,-1798.82,340.48,3.144,10.00,40.0
58.00,1938.40,-1795.88,340.51,3.121,10.00,40.0
59.00,1937.37,-1792.96,340.55,3.099,10.00,40.0
60.00,1936.34,-1790.06,340.58,3.077,10.00,40.0
61.00,1935.33,-1787.18,340.61,3.055,10.00,40.0
62.00,1934.32,-1784.32,340.65,3.034,10.00,40.0
63.00,1933.32,-1781.47,340.68,3.013,10.00,40.0
64.00,1932.33,-1778.65,340.72,2.993,10.00,40.0
65.00,1931.35,-1775.83,340.76,2.983,5.00,50.0
66.00,1930.37,-1773.03,340.79,2.973,5.00,50.0
67.00,1929.39,-1770.23,340.83,2.964,5.00,50.0
68.00,1928.42,-1767.44,340.86,2.955,5.00,50.0
69.00,1927.45,-1764.65,340.90,2.946,5.00,50.0
70.00,1926.49,-1761.88,340.93,2.937,5.00,50.0
71.00,1925.54,-1759.11,340.97,2.928,5.00,50.0
72.00,1924.58,-1756.35,341.00,2.919,5.00,50.0
73.00,1923.64,-1753.60,341.04,2.911,5.00,50.0
74.00,1922.69,-1750.85,341.07,2.903,5.00,50.0
75.00,1921.75,-1748.12,341.10,2.895,5.00,50.0
76.00,1920.82,-1745.38,341.14,2.887,5.00,50.0
77.00,1919.89,-1742.66,341.17,2.879,5.00,50.0
78.00,1918.96,-1739.94,341.20,2.872,5.00,50.0
79.00,1918.04,-1737.23,341.24,2.864,5.00,50.0
80.00,1917.12,-1734.53,341.27,2.857,5.00,50.0
81.00,1916.21,-1731.83,341.30,2.850,0.00,50.0
82.00,1915.29,-1729.13,341.33,2.843,0.00,50.0
83.00,1914.39,-1726.45,341.36,2.836,0.00,50.0
84.00,1913.48,-1723.77,341.39,2.829,0.00,50.0
85.00,1912.58,-1721.09,341.42,2.823,0.00,50.0
86.00,1911.68,-1718.42,341.45,2.816,0.00,50.0
87.00,1910.79,-1715.76,341.47,2.810,0.00,50.0
88.00,1909.90,-1713.10,341.50,2.804,0.00,50.0
89.00,1909.01,-1710.45,341.52,2.798,0.00,50.0
90.00,1908.13,-1707.80,341.55,2.792,0.00,50.0
91.00,1907.25,-1705.16,341.57,2.786,0.00,50.0
92.00,1906.37,-1702.52,341.59,2.780,0.00,50.0
93.00,1905.49,-1699.89,341.61,2.774,0.00,50.0
94.00,1904.62,-1697.26,341.63,2.769,0.00,50.0
95.00,1903.75,-1694.64,341.65,2.764,0.00,50.0
96.00,1902.88,-1692.02,341.67,2.758,0.00,50.0
97.00,1902.01,-1689.41,341.69,2.753,0.00,50.0
98.00,1901.15,-1686.80,341.71,2.748,0.00,50.0
99.00,1900.29,-1684.19,341.73,2.743,0.00,50.0
100.00,1899.43,-1681.59,341.74,2.738,0.00,50.0
101.00,1898.57,-1679.00,341.76,2.733,0.00,50.0
102.00,1897.72,-1676.40,341.77,2.729,0.00,50.0
103.00,1896.87,-1673.82,341.79,2.724,0.00,50.0
104.00,1896.02,-1671.23,341.80,2.720,0.00,50.0
105.00,1895.17,-1668.65,341.82,2.715,0.00,50.0
106.00,1894.32,-1666.08,341.83,2.711,0.00,50.0
107.00,1893.48,-1663.51,341.85,2.707,0.00,50.0
108.00,1892.64,-1660.94,341.86,2.703,0.00,50.0
109.00,1891.80,-1658.37,341.87,2.699,0.00,50.0
110.00,1890.96,-1655.81,341.88,2.695,0.00,50.0
111.00,1890.12,-1653.26,341.89,2.691,0.00,50.0
112.00,1889.29,-1650.70,341.90,2.687,0.00,50.0
113.00,1888.45,-1648.15,341.92,2.683,0.00,50.0
114.00,1887.62,-1645.60,341.93,2.680,0.00,50.0
115.00,1886.79,-1643.06,341.94,2.676,0.00,50.0
116.00,1885.96,-1640.52,341.95,2.672,0.00,50.0
117.00,1885.13,-1637.98,341.96,2.669,0.00,50.0
118.00,1884.31,-1635.45,341.96,2.666,0.00,50.0
119.00,1883.49,-1632.92,341.97,2.662,0.00,50.0
120.00,1882.66,-1630.39,341.98,2.659,0.00,50.0
121.00,1881.84,-1627.86,341.99,2.656,0.00,50.0
122.00,1881.02,-1625.34,342.00,2.653,0.00,50.0
123.00,1880.20,-1622.82,342.01,2.650,0.00,50.0
124.00,1879.38,-1620.30,342.01,2.647,0.00,50.0
125.00,1878.57,-1617.79,342.02,2.644,0.00,50.0
126.00,1877.75,-1615.28,342.03,2.641,0.00,50.0
127.00,1876.94,-1612.77,342.03,2.638,0.00,50.0
128.00,1876.13,-1610.26,342.04,2.635,0.00,50.0
129.00,1875.31,-1607.76,342.05,2.633,0.00,50.0
130.00,1874.50,-1605.25,342.05,2.630,0.00,50.0
131.00,1873.69,-1602.75,342.06,2.627,0.00,50.0
132.00,1872.88,-1600.26,342.06,2.625,0.00,50.0
133.00,1872.08,-1597.76,342.07,2.622,0.00,50.0
134.00,1871.27,-1595.27,342.08,2.620,0.00,50.0
135.00,1870.47,-1592.78,342.08,2.617,0.00,50.0
136.00,1869.66,-1590.29,342.09,2.615,0.00,50.0
137.00,1868.86,-1587.80,342.09,2.613,0.00,50.0
138.00,1868.05,-1585.32,342.09,2.611,0.00,50.0
139.00,1867.25,-1582.84,342.10,2.608,0.00,50.0
140.00,1866.45,-1580.36,342.10,2.606,0.00,50.0
141.00,1865.65,-1577.88,342.11,2.604,0.00,50.0
142.00,1864.85,-1575.40,342.11,2.602,0.00,50.0
143.00,1864.05,-1572.93,342.12,2.600,0.00,50.0
144.00,1863.26,-1570.46,342.12,2.598,0.00,50.0
145.00,1862.46,-1567.99,342.12,2.596,0.00,50.0
146.00,1861.66,-1565.52,342.13,2.594,0.00,50.0
147.00,1860.87,-1563.05,342.13,2.592,0.00,50.0
148.00,1860.07,-1560.59,342.13,2.590,0.00,50.0
149.00,1859.28,-1558.12,342.14,2.589,0.00,50.0
150.00,1858.48,-1555.66,342.14,2.587,0.00,50.0
151.00,1857.69,-1553.20,342.14,2.585,0.00,50.0
152.00,1856.90,-1550.74,342.15,2.583,0.00,50.0
153.00,1856.11,-1548.28,342.15,2.582,0.00,50.0
154.00,1855.32,-1545.83,342.15,2.580,0.00,50.0
155.00,1854.53,-1543.37,342.15,2.578,0.00,50.0
156.00,1853.74,-1540.92,342.16,2.577,0.00,50.0
157.00,1852.95,-1538.47,342.16,2.575,0.00,50.0
158.00,1852.16,-1536.02,342.16,2.574,0.00,50.0
159.00,1851.37,-1533.57,342.16,2.572,0.00,50.0
160.00,1850.58,-1531.12,342.16,2.571,0.00,50.0
161.00,1849.80,-1528.68,342.17,2.569,0.00,50.0
162.00,1849.01,-1526.23,342.17,2.568,0.00,50.0
163.00,1848.22,-1523.79,342.17,2.567,0.00,50.0
164.00,1847.44,-1521.35,342.17,2.565,0.00,50.0
165.00,1846.65,-1518.91,342.17,2.564,0.00,50.0
166.00,1845.87,-1516.47,342.18,2.563,0.00,50.0
167.00,1845.08,-1514.03,342.18,2.562,0.00,50.0
168.00,1844.30,-1511.59,342.18,2.560,0.00,50.0
169.00,1843.52,-1509.15,342.18,2.559,0.00,50.0
170.00,1842.73,-1506.72,342.18,2.558,0.00,50.0
171.00,1841.95,-1504.28,342.18,2.557,0.00,50.0
172.00,1841.17,-1501.85,342.19,2.556,0.00,50.0
173.00,1840.39,-1499.42,342.19,2.555,0.00,50.0
174.00,1839.61,-1496.99,342.19,2.553,0.00,50.0
175.00,1838.83,-1494.56,342.19,2.552,0.00,50.0
176.00,1838.05,-1492.13,342.19,2.551,0.00,50.0
177.00,1837.27,-1489.70,342.19,2.550,0.00,50.0
178.00,1836.49,-1487.27,342.19,2.549,0.00,50.0
179.00,1835.71,-1484.85,342.20,2.548,0.00,50.0
180.00,1834.93,-1482.42,342.20,2.547,0.00,50.0
181.00,1834.15,-1480.00,342.20,2.546,0.00,50.0
182.00,1833.37,-1477.57,342.20,2.545,0.00,50.0
183.00,1832.59,-1475.15,342.20,2.545,0.00,50.0
184.00,1831.82,-1472.73,342.20,2.544,0.00,50.0
185.00,1831.04,-1470.31,342.20,2.543,0.00,50.0
186.00,1830.26,-1467.89,342.20,2.542,0.00,50.0
187.00,1829.49,-1465.47,342.20,2.541,0.00,50.0
188.00,1828.71,-1463.05,342.20,2.540,0.00,50.0
189.00,1827.93,-1460.63,342.20,2.539,0.00,50.0
190.00,1827.16,-1458.21,342.21,2.539,0.00,50.0
191.00,1826.38,-1455.80,342.21,2.538,0.00,50.0
192.00,1825.61,-1453.38,342.21,2.537,0.00,50.0
193.00,1824.83,-1450.97,342.21,2.536,0.00,50.0
194.00,1824.06,-1448.55,342.21,2.536,0.00,50.0
195.00,1823.28,-1446.14,342.21,2.535,0.00,50.0
196.00,1822.51,-1443.73,342.21,2.534,0.00,50.0
197.00,1821.73,-1441.31,342.21,2.534,0.00,50.0
198.00,1820.96,-1438.90,342.21,2.533,0.00,50.0
199.00,1820.19,-1436.49,342.21,2.532,0.00,50.0
200.00,1819.41,-1434.08,342.21,2.532,0.00,50.0
201.00,1818.64,-1431.67,342.21,2.531,0.00,50.0
202.00,1817.87,-1429.26,342.21,2.530,0.00,50.0
203.00,1817.09,-1426.85,342.21,2.530,0.00,50.0
204.00,1816.32,-1424.44,342.21,2.529,0.00,50.0
205.00,1815.55,-1422.04,342.21,2.529,0.00,50.0
206.00,1814.78,-1419.63,342.22,2.528,0.00,50.0
207.00,1814.00,-1417.22,342.22,2.527,0.00,50.0
208.00,1813.23,-1414.82,342.22,2.527,0.00,50.0
209.00,1812.46,-1412.41,342.22,2.526,0.00,50.0
210.00,1811.69,-1410.01,342.22,2.526,0.00,50.0
211.00,1810.92,-1407.60,342.22,2.525,0.00,50.0
212.00,1810.15,-1405.20,342.22,2.525,0.00,50.0
213.00,1809.38,-1402.79,342.22,2.524,0.00,50.0
214.00,1808.61,-1400.39,342.22,2.524,0.00,50.0
215.00,1807.84,-1397.99,342.22,2.523,0.00,50.0
216.00,1807.07,-1395.58,342.22,2.523,0.00,50.0
