time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
7.00,2004.21,-1977.62,340.00,4.627,0.00,50.0
8.00,2002.64,-1973.32,340.00,4.584,0.00,50.0
9.00,2001.09,-1969.05,340.00,4.543,0.00,50.0
10.00,1999.55,-1964.82,340.00,4.502,0.00,50.0
11.00,1998.02,-1960.62,340.00,4.462,0.00,50.0
12.00,1996.51,-1956.47,340.00,4.423,0.00,50.0
13.00,1995.01,-1952.35,340.00,4.384,0.00,50.0
14.00,1993.53,-1948.26,340.00,4.346,0.00,50.0
15.00,1992.05,-1944.22,340.00,4.309,0.00,50.0
16.00,1990.59,-1940.20,340.00,4.273,0.00,50.0
17.00,1989.14,-1936.22,340.00,4.238,0.00,50.0
18.00,1987.70,-1932.27,340.00,4.203,0.00,50.0
19.00,1986.28,-1928.35,340.00,4.169,0.00,50.0
20.00,1984.86,-1924.46,340.00,4.136,0.00,50.0
21.00,1983.46,-1920.61,340.00,4.103,0.00,50.0
22.00,1982.07,-1916.78,340.00,4.071,0.00,50.0
23.00,1980.69,-1912.99,340.00,4.039,0.00,50.0
24.00,1979.32,-1909.22,340.00,4.009,5.00,50.0
25.00,1977.95,-1905.48,340.00,3.978,5.00,50.0
26.00,1976.60,-1901.77,340.01,3.949,5.00,50.0
27.00,1975.26,-1898.09,340.01,3.920,5.00,50.0
28.00,1973.93,-1894.43,340.01,3.892,5.00,50.0
29.00,1972.61,-1890.80,340.02,3.864,5.00,50.0
30.00,1971.30,-1887.19,340.02,3.836,5.00,50.0
31.00,1970.00,-1883.61,340.03,3.810,5.00,50.0
32.00,1968.71,-1880.06,340.04,3.784,5.00,50.0
33.00,1967.43,-1876.52,340.05,3.758,5.00,50.0
34.00,1966.15,-1873.02,340.06,3.733,5.00,50.0
35.00,1964.89,-1869.53,340.07,3.708,5.00,50.0
36.00,1963.63,-1866.07,340.08,3.684,5.00,50.0
37.00,1962.38,-1862.63,340.09,3.660,5.00,50.0
38.00,1961.14,-1859.21,340.10,3.637,5.00,50.0
39.00,1959.91,-1855.81,340.11,3.614,5.00,50.0
40.00,1958.69,-1852.43,340.12,3.592,5.00,50.0
41.00,1957.48,-1849.07,340.14,3.570,10.00,50.0
42.00,1956.27,-1845.74,340.15,3.549,10.00,50.0
43.00,1955.08,-1842.42,340.17,3.528,10.00,50.0
44.00,1953.89,-1839.12,340.19,3.507,10.00,50.0
45.00,1952.70,-1835.84,340.21,3.487,10.00,50.0
46.00,1951.53,-1832.58,340.23,3.467,10.00,50.0
47.00,1950.36,-1829.33,340.25,3.448,10.00,50.0
48.00,1949.20,-1826.10,340.27,3.429,10.00,50.0
49.00,1948.05,-1822.89,340.30,3.410,10.00,50.0
50.00,1946.91,-1819.70,340.32,3.392,10.00,50.0
51.00,1945.77,-1816.52,340.35,3.374,10.00,50.0
52.00,1944.64,-1813.36,340.38,3.357,10.00,50.0
53.00,1943.52,-1810.21,340.40,3.340,10.00,50.0
54.00,1942.41,-1807.08,340.43,3.323,10.00,50.0
55.00,1941.30,-1803.97,340.46,3.306,10.00,50.0
56.00,1940.20,-1800.87,340.50,3.290,10.00,50.0
57.00,1939.11,-1797.78,340.53,3.275,10.00,50.0
58.00,1938.02,-1794.71,340.56,3.259,5.00,50.0
59.00,1936.94,-1791.65,340.59,3.244,5.00,50.0
60.00,1935.87,-1788.60,340.62,3.229,5.00,50.0
61.00,1934.80,-1785.57,340.65,3.214,5.00,50.0
62.00,1933.74,-1782.55,340.69,3.200,5.00,50.0
63.00,1932.69,-1779.55,340.72,3.186,5.00,50.0
64.00,1931.64,-1776.55,340.75,3.172,5.00,50.0
65.00,1930.60,-1773.57,340.78,3.159,5.00,50.0
66.00,1929.56,-1770.60,340.81,3.146,5.00,50.0
67.00,1928.53,-1767.64,340.84,3.133,5.00,50.0
68.00,1927.51,-1764.69,340.87,3.120,5.00,50.0
69.00,1926.49,-1761.76,340.90,3.108,5.00,50.0
70.00,1925.48,-1758.83,340.93,3.096,5.00,50.0
71.00,1924.47,-1755.92,340.97,3.084,5.00,50.0
72.00,1923.47,-1753.01,341.00,3.072,5.00,50.0
73.00,1922.47,-1750.12,341.03,3.061,5.00,50.0
74.00,1921.48,-1747.23,341.06,3.049,5.00,50.0
75.00,1920.49,-1744.36,341.09,3.038,5.00,50.0
76.00,1919.51,-1741.50,341.12,3.028,5.00,50.0
77.00,1918.54,-1738.64,341.15,3.017,0.00,50.0
78.00,1917.57,-1735.80,341.18,3.007,0.00,50.0
79.00,1916.60,-1732.96,341.20,2.997,0.00,50.0
80.00,1915.64,-1730.13,341.23,2.987,0.00,50.0
81.00,1914.68,-1727.31,341.26,2.977,0.00,50.0
82.00,1913.72,-1724.50,341.28,2.967,0.00,50.0
83.00,1912.78,-1721.70,341.30,2.958,0.00,50.0
84.00,1911.83,-1718.91,341.33,2.949,0.00,50.0
85.00,1910.89,-1716.12,341.35,2.940,0.00,50.0
86.00,1909.95,-1713.35,341.37,2.931,0.00,50.0
87.00,1909.02,-1710.58,341.39,2.923,0.00,50.0
88.00,1908.09,-1707.82,341.41,2.914,0.00,50.0
89.00,1907.16,-1705.06,341.43,2.906,0.00,50.0
90.00,1906.24,-1702.31,341.45,2.898,0.00,50.0
91.00,1905.32,-1699.57,341.47,2.890,0.00,50.0
92.00,1904.40,-1696.84,341.49,2.882,0.00,50.0
93.00,1903.49,-1694.12,341.50,2.874,0.00,50.0
94.00,1902.58,-1691.40,341.52,2.867,0.00,50.0
95.00,1901.68,-1688.69,341.54,2.859,0.00,50.0
96.00,1900.77,-1685.98,341.55,2.852,0.00,50.0
97.00,1899.87,-1683.28,341.57,2.845,0.00,50.0
98.00,1898.97,-1680.59,341.58,2.838,0.00,50.0
99.00,1898.08,-1677.90,341.60,2.832,0.00,50.0
100.00,1897.19,-1675.22,341.61,2.825,0.00,50.0
101.00,1896.30,-1672.55,341.62,2.818,0.00,50.0
102.00,1895.41,-1669.88,341.63,2.812,0.00,50.0
103.00,1894.53,-1667.22,341.65,2.806,0.00,50.0
104.00,1893.65,-1664.56,341.66,2.800,0.00,50.0
105.00,1892.77,-1661.91,341.67,2.794,0.00,50.0
106.00,1891.89,-1659.26,341.68,2.788,0.00,50.0
107.00,1891.02,-1656.62,341.69,2.782,0.00,50.0
108.00,1890.14,-1653.98,341.70,2.776,0.00,50.0
109.00,1889.27,-1651.35,341.71,2.771,0.00,50.0
110.00,1888.41,-1648.73,341.72,2.765,0.00,50.0
111.00,1887.54,-1646.11,341.73,2.760,0.00,50.0
112.00,1886.68,-1643.49,341.74,2.755,0.00,50.0
113.00,1885.82,-1640.88,341.75,2.750,0.00,50.0
114.00,1884.96,-1638.27,341.76,2.745,0.00,50.0
115.00,1884.10,-1635.67,341.76,2.740,0.00,50.0
116.00,1883.24,-1633.07,341.77,2.735,0.00,50.0
117.00,1882.39,-1630.48,341.78,2.730,0.00,50.0
118.00,1881.54,-1627.89,341.79,2.726,0.00,50.0
119.00,1880.69,-1625.30,341.79,2.721,0.00,50.0
120.00,1879.84,-1622.72,341.80,2.717,0.00,50.0
121.00,1878.99,-1620.15,341.81,2.713,0.00,50.0
122.00,1878.14,-1617.57,341.81,2.708,0.00,50.0
123.00,1877.30,-1615.00,341.82,2.704,0.00,50.0
124.00,1876.46,-1612.44,341.83,2.700,0.00,50.0
125.00,1875.62,-1609.88,341.83,2.696,0.00,50.0
126.00,1874.78,-1607.32,341.84,2.692,0.00,50.0
127.00,1873.94,-1604.76,341.84,2.688,0.00,50.0
128.00,1873.10,-1602.21,341.85,2.685,0.00,50.0
129.00,1872.27,-1599.67,341.85,2.681,0.00,50.0
130.00,1871.43,-1597.12,341.86,2.677,0.00,50.0
131.00,1870.60,-1594.58,341.86,2.674,0.00,50.0
132.00,1869.77,-1592.04,341.87,2.670,0.00,50.0
133.00,1868.94,-1589.51,341.87,2.667,0.00,50.0
134.00,1868.11,-1586.98,341.88,2.663,0.00,50.0
135.00,1867.28,-1584.45,341.88,2.660,0.00,50.0
136.00,1866.46,-1581.92,341.88,2.657,0.00,50.0
137.00,1865.63,-1579.40,341.89,2.654,0.00,50.0
138.00,1864.81,-1576.88,341.89,2.651,0.00,50.0
139.00,1863.99,-1574.37,341.90,2.648,0.00,50.0
140.00,1863.16,-1571.85,341.90,2.645,0.00,50.0
141.00,1862.34,-1569.34,341.90,2.642,0.00,50.0
142.00,1861.52,-1566.83,341.91,2.639,0.00,50.0
143.00,1860.70,-1564.33,341.91,2.636,0.00,50.0
144.00,1859.89,-1561.82,341.91,2.634,0.00,50.0
145.00,1859.07,-1559.32,341.91,2.631,0.00,50.0
146.00,1858.25,-1556.82,341.92,2.628,0.00,50.0
147.00,1857.44,-1554.33,341.92,2.626,0.00,50.0
148.00,1856.62,-1551.83,341.92,2.623,0.00,50.0
149.00,1855.81,-1549.34,341.93,2.621,0.00,50.0
150.00,1855.00,-1546.85,341.93,2.618,0.00,50.0
151.00,1854.19,-1544.37,341.93,2.616,0.00,50.0
152.00,1853.38,-1541.88,341.93,2.614,0.00,50.0
153.00,1852.57,-1539.40,341.94,2.611,0.00,50.0
154.00,1851.76,-1536.92,341.94,2.609,0.00,50.0
155.00,1850.95,-1534.44,341.94,2.607,0.00,50.0
156.00,1850.14,-1531.96,341.94,2.605,0.00,50.0
157.00,1849.34,-1529.49,341.94,2.603,0.00,50.0
158.00,1848.53,-1527.02,341.95,2.601,0.00,50.0
159.00,1847.72,-1524.55,341.95,2.599,0.00,50.0
160.00,1846.92,-1522.08,341.95,2.597,0.00,50.0
161.00,1846.12,-1519.61,341.95,2.595,0.00,50.0
162.00,1845.31,-1517.15,341.95,2.593,0.00,50.0
163.00,1844.51,-1514.68,341.95,2.591,0.00,50.0
164.00,1843.71,-1512.22,341.96,2.589,0.00,50.0
165.00,1842.91,-1509.76,341.96,2.587,0.00,50.0
166.00,1842.10,-1507.30,341.96,2.586,0.00,50.0
167.00,1841.30,-1504.84,341.96,2.584,0.00,50.0
168.00,1840.50,-1502.39,341.96,2.582,0.00,50.0
169.00,1839.71,-1499.94,341.96,2.581,0.00,50.0
170.00,1838.91,-1497.48,341.96,2.579,0.00,50.0
171.00,1838.11,-1495.03,341.96,2.577,0.00,50.0
172.00,1837.31,-1492.58,341.97,2.576,0.00,50.0
173.00,1836.51,-1490.14,341.97,2.574,0.00,50.0
174.00,1835.72,-1487.69,341.97,2.573,0.00,50.0
175.00,1834.92,-1485.24,341.97,2.571,0.00,50.0
176.00,1834.13,-1482.80,341.97,2.570,0.00,50.0
177.00,1833.33,-1480.36,341.97,2.569,0.00,50.0
178.00,1832.54,-1477.92,341.97,2.567,0.00,50.0
179.00,1831.74,-1475.48,341.97,2.566,0.00,50.0
180.00,1830.95,-1473.04,341.97,2.565,0.00,50.0
181.00,1830.16,-1470.60,341.97,2.563,0.00,50.0
182.00,1829.36,-1468.16,341.98,2.562,0.00,50.0
183.00,1828.57,-1465.73,341.98,2.561,0.00,50.0
184.00,1827.78,-1463.29,341.98,2.560,0.00,50.0
185.00,1826.99,-1460.86,341.98,2.558,0.00,50.0
186.00,1826.20,-1458.43,341.98,2.557,0.00,50.0
187.00,1825.41,-1456.00,341.98,2.556,0.00,50.0
188.00,1824.62,-1453.57,341.98,2.555,0.00,50.0
189.00,1823.83,-1451.14,341.98,2.554,0.00,50.0
190.00,1823.04,-1448.71,341.98,2.553,0.00,50.0
191.00,1822.25,-1446.29,341.98,2.552,0.00,50.0
192.00,1821.46,-1443.86,341.98,2.551,0.00,50.0
193.00,1820.67,-1441.44,341.98,2.550,0.00,50.0
194.00,1819.88,-1439.01,341.98,2.549,0.00,50.0
195.00,1819.09,-1436.59,341.98,2.548,0.00,50.0
196.00,1818.31,-1434.17,341.98,2.547,0.00,50.0
197.00,1817.52,-1431.75,341.99,2.546,0.00,50.0
198.00,1816.73,-1429.33,341.99,2.545,0.00,50.0
199.00,1815.94,-1426.91,341.99,2.544,0.00,50.0
200.00,1815.16,-1424.49,341.99,2.543,0.00,50.0
201.00,1814.37,-1422.07,341.99,2.542,0.00,50.0
202.00,1813.59,-1419.66,341.99,2.541,0.00,50.0
203.00,1812.80,-1417.24,341.99,2.541,0.00,50.0
204.00,1812.01,-1414.82,341.99,2.540,0.00,50.0
205.00,1811.23,-1412.41,341.99,2.539,0.00,50.0
206.00,1810.44,-1410.00,341.99,2.538,0.00,50.0
207.00,1809.66,-1407.58,341.99,2.537,0.00,50.0
208.00,1808.88,-1405.17,341.99,2.537,0.00,50.0
209.00,1808.09,-1402.76,341.99,2.536,0.00,50.0
210.00,1807.31,-1400.35,341.99,2.535,0.00,50.0
211.00,1806.52,-1397.94,341.99,2.535,0.00,50.0
212.00,1805.74,-1395.53,341.99,2.534,0.00,50.0
213.00,1804.96,-1393.12,341.99,2.533,0.00,50.0
214.00,1804.17,-1390.71,341.99,2.532,0.00,50.0
215.00,1803.39,-1388.30,341.99,2.532,0.00,50.0
216.00,1802.61,-1385.90,341.99,2.531,0.00,50.0
217.00,1801.83,-1383.49,341.99,2.531,0.00,50.0
218.00,1801.05,-1381.08,341.99,2.530,0.00,50.0
219.00,1800.26,-1378.68,341.99,2.529,0.00,50.0
220.00,1799.48,-1376.27,341.99,2.529,0.00,50.0
221.00,1798.70,-1373.87,341.99,2.528,0.00,50.0
222.00,1797.92,-1371.46,341.99,2.528,0.00,50.0
223.00,1797.14,-1369.06,341.99,2.527,0.00,50.0
224.00,1796.36,-1366.66,341.99,2.527,0.00,50.0
225.00,1795.58,-1364.26,341.99,2.526,0.00,50.0
226.00,1794.80,-1361.85,341.99,2.525,0.00,50.0
227.00,1794.01,-1359.45,341.99,2.525,0.00,50.0
