time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
9.00,5964.00,34.76,315.00,4.543,0.00,50.0
10.00,5960.82,37.94,315.00,4.502,0.00,50.0
11.00,5957.67,41.10,315.00,4.462,0.00,50.0
12.00,5954.54,44.22,315.00,4.423,0.00,50.0
13.00,5951.44,47.32,315.00,4.384,0.00,50.0
14.00,5948.37,50.40,315.00,4.346,0.00,50.0
15.00,5945.32,53.45,315.00,4.309,0.00,50.0
16.00,5942.30,56.47,315.00,4.273,0.00,50.0
17.00,5939.30,59.46,315.00,4.238,0.00,50.0
18.00,5936.33,62.44,315.00,4.203,0.00,50.0
19.00,5933.38,65.38,315.00,4.169,0.00,50.0
20.00,5930.46,68.31,315.00,4.136,0.00,50.0
21.00,5927.55,71.21,315.00,4.103,0.00,50.0
22.00,5924.68,74.09,315.00,4.071,0.00,50.0
23.00,5921.82,76.94,315.00,4.039,0.00,50.0
24.00,5918.99,79.78,315.00,4.009,0.00,50.0
25.00,5916.17,82.59,315.00,3.978,0.00,50.0
26.00,5913.38,85.38,315.00,3.949,0.00,50.0
27.00,5910.61,88.16,315.00,3.920,0.00,50.0
28.00,5907.86,90.91,315.00,3.892,0.00,50.0
29.00,5905.12,93.64,315.00,3.864,0.00,50.0
30.00,5902.41,96.35,315.00,3.836,0.00,50.0
31.00,5899.72,99.05,315.00,3.810,0.00,50.0
32.00,5897.04,101.72,315.00,3.784,0.00,50.0
33.00,5894.39,104.38,315.00,3.758,0.00,50.0
34.00,5891.75,107.02,315.00,3.733,0.00,50.0
35.00,5889.12,109.64,315.00,3.708,0.00,50.0
36.00,5886.52,112.24,315.00,3.684,0.00,50.0
37.00,5883.93,114.83,315.00,3.660,0.00,50.0
38.00,5881.36,117.40,315.00,3.637,0.00,50.0
39.00,5878.80,119.96,315.00,3.614,0.00,50.0
40.00,5876.26,122.50,315.00,3.592,0.00,50.0
41.00,5873.74,125.02,315.00,3.570,0.00,50.0
42.00,5871.23,127.53,315.00,3.549,0.00,50.0
