time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
5.00,-4278.05,3189.14,45.00,4.706,0.00,50.0,0.00
6.00,-4274.76,3192.44,45.00,4.662,0.00,50.0,0.00
7.00,-4271.49,3195.71,45.00,4.618,0.00,50.0,0.00
8.00,-4268.26,3198.94,45.00,4.576,0.00,50.0,0.00
9.00,-4265.05,3202.15,45.00,4.535,0.00,50.0,0.00
10.00,-4261.87,3205.33,45.00,4.494,0.00,50.0,0.00
11.00,-4258.72,3208.48,45.00,4.454,0.00,50.0,0.00
12.00,-4255.60,3211.60,45.00,4.415,0.00,50.0,0.00
13.00,-4252.51,3214.69,45.00,4.377,0.00,50.0,0.00
14.00,-4249.44,3217.76,45.00,4.339,0.00,50.0,0.00
15.00,-4246.40,3220.80,45.00,4.302,5.00,50.0,0.06
16.00,-4243.38,3223.82,45.00,4.266,5.00,50.0,0.11
17.00,-4240.39,3226.81,45.01,4.231,5.00,50.0,0.17
18.00,-4237.42,3229.78,45.01,4.196,5.00,50.0,0.22
19.00,-4234.48,3232.72,45.01,4.162,5.00,50.0,0.27
20.00,-4231.55,3235.64,45.02,4.129,5.00,50.0,0.32
21.00,-4228.66,3238.54,45.02,4.097,5.00,50.0,0.36
22.00,-4225.78,3241.41,45.03,4.065,5.00,50.0,0.41
23.00,-4222.93,3244.26,45.04,4.033,5.00,50.0,0.45
24.00,-4220.10,3247.09,45.05,4.003,5.00,50.0,0.49
25.00,-4217.28,3249.89,45.06,3.973,5.00,50.0,0.53
26.00,-4214.49,3252.68,45.07,3.943,5.00,50.0,0.57
27.00,-4211.72,3255.44,45.08,3.914,5.00,50.0,0.61
28.00,-4208.97,3258.19,45.09,3.886,5.00,50.0,0.65
29.00,-4206.24,3260.91,45.10,3.858,5.00,50.0,0.68
30.00,-4203.53,3263.62,45.11,3.831,5.00,50.0,0.72
31.00,-4200.83,3266.30,45.12,3.805,10.00,50.0,0.81
32.00,-4198.15,3268.97,45.14,3.778,10.00,50.0,0.90
33.00,-4195.49,3271.62,45.15,3.753,10.00,50.0,0.98
34.00,-4192.85,3274.24,45.17,3.728,10.00,50.0,1.06
35.00,-4190.22,3276.85,45.19,3.703,10.00,50.0,1.14
36.00,-4187.61,3279.45,45.21,3.679,10.00,50.0,1.22
37.00,-4185.02,3282.02,45.23,3.656,10.00,50.0,1.29
38.00,-4182.44,3284.58,45.26,3.632,10.00,50.0,1.36
39.00,-4179.87,3287.12,45.28,3.610,10.00,50.0,1.43
40.00,-4177.33,3289.65,45.30,3.588,10.00,50.0,1.50
41.00,-4174.79,3292.15,45.33,3.566,10.00,50.0,1.56
42.00,-4172.27,3294.65,45.36,3.545,10.00,50.0,1.62
43.00,-4169.76,3297.12,45.39,3.524,10.00,50.0,1.68
44.00,-4167.27,3299.58,45.42,3.503,10.00,50.0,1.74
45.00,-4164.79,3302.03,45.45,3.483,10.00,50.0,1.80
46.00,-4162.32,3304.46,45.48,3.463,15.00,50.0,1.91
47.00,-4159.86,3306.87,45.51,3.444,15.00,50.0,2.02
48.00,-4157.42,3309.27,45.55,3.425,15.00,50.0,2.12
49.00,-4154.99,3311.66,45.58,3.407,15.00,50.0,2.22
50.00,-4152.57,3314.03,45.62,3.389,15.00,50.0,2.32
51.00,-4150.16,3316.39,45.66,3.371,15.00,50.0,2.41
52.00,-4147.76,3318.73,45.70,3.353,15.00,50.0,2.50
53.00,-4145.37,3321.06,45.75,3.336,15.00,50.0,2.59
54.00,-4143.00,3323.38,45.79,3.320,15.00,50.0,2.68
55.00,-4140.63,3325.68,45.84,3.303,15.00,50.0,2.76
56.00,-4138.27,3327.97,45.88,3.287,15.00,50.0,2.84
57.00,-4135.92,3330.25,45.93,3.271,15.00,50.0,2.92
58.00,-4133.58,3332.51,45.98,3.256,15.00,50.0,2.99
59.00,-4131.25,3334.77,46.03,3.241,15.00,50.0,3.06
60.00,-4128.93,3337.01,46.09,3.226,15.00,50.0,3.13
61.00,-4126.61,3339.23,46.14,3.212,15.00,50.0,3.20
62.00,-4124.31,3341.45,46.19,3.197,15.00,50.0,3.26
63.00,-4122.01,3343.65,46.25,3.183,20.00,50.0,3.38
64.00,-4119.72,3345.84,46.31,3.170,20.00,50.0,3.50
65.00,-4117.44,3348.02,46.37,3.156,20.00,50.0,3.61
66.00,-4115.16,3350.19,46.43,3.143,20.00,50.0,3.72
67.00,-4112.90,3352.35,46.49,3.130,20.00,50.0,3.82
68.00,-4110.64,3354.50,46.56,3.118,20.00,50.0,3.92
69.00,-4108.38,3356.63,46.63,3.105,20.00,50.0,4.02
70.00,-4106.13,3358.76,46.70,3.093,20.00,50.0,4.12
71.00,-4103.89,3360.87,46.77,3.081,20.00,50.0,4.21
72.00,-4101.65,3362.97,46.84,3.070,20.00,50.0,4.30
73.00,-4099.42,3365.07,46.91,3.058,20.00,50.0,4.38
74.00,-4097.20,3367.15,46.99,3.047,20.00,50.0,4.46
