time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.90,43.64,45.00,4.317,5.00,50.0,0.06
13.00,-5971.88,46.66,45.00,4.281,5.00,50.0,0.11
14.00,-5968.88,49.67,45.01,4.245,5.00,50.0,0.17
15.00,-5965.90,52.64,45.01,4.210,5.00,50.0,0.22
16.00,-5962.94,55.59,45.01,4.176,5.00,50.0,0.27
17.00,-5960.02,58.52,45.02,4.142,5.00,50.0,0.32
18.00,-5957.11,61.43,45.02,4.110,5.00,50.0,0.36
19.00,-5954.22,64.31,45.03,4.077,5.00,50.0,0.41
20.00,-5951.36,67.17,45.04,4.046,5.00,50.0,0.45
21.00,-5948.52,70.01,45.05,4.015,5.00,50.0,0.49
22.00,-5945.70,72.82,45.06,3.985,5.00,50.0,0.53
23.00,-5942.90,75.62,45.07,3.955,10.00,50.0,0.63
24.00,-5940.12,78.39,45.08,3.926,10.00,50.0,0.72
25.00,-5937.36,81.14,45.09,3.897,10.00,50.0,0.81
26.00,-5934.62,83.87,45.11,3.869,10.00,50.0,0.90
27.00,-5931.90,86.58,45.12,3.842,10.00,50.0,0.98
28.00,-5929.20,89.28,45.14,3.815,10.00,50.0,1.07
29.00,-5926.51,91.95,45.16,3.789,10.00,50.0,1.15
30.00,-5923.84,94.60,45.18,3.763,10.00,50.0,1.22
31.00,-5921.19,97.24,45.20,3.738,10.00,50.0,1.29
32.00,-5918.56,99.85,45.23,3.713,10.00,50.0,1.37
33.00,-5915.94,102.45,45.25,3.689,10.00,50.0,1.43
34.00,-5913.33,105.03,45.28,3.665,15.00,50.0,1.56
35.00,-5910.75,107.59,45.30,3.642,15.00,50.0,1.68
36.00,-5908.17,110.14,45.33,3.619,15.00,50.0,1.79
37.00,-5905.62,112.67,45.36,3.597,15.00,50.0,1.90
38.00,-5903.07,115.18,45.40,3.575,15.00,50.0,2.01
39.00,-5900.54,117.67,45.43,3.553,15.00,50.0,2.12
40.00,-5898.03,120.15,45.47,3.532,15.00,50.0,2.22
41.00,-5895.52,122.61,45.51,3.511,15.00,50.0,2.32
42.00,-5893.03,125.06,45.55,3.491,15.00,50.0,2.41
43.00,-5890.55,127.49,45.59,3.471,15.00,50.0,2.50
44.00,-5888.09,129.91,45.63,3.452,15.00,50.0,2.59
45.00,-5885.63,132.31,45.68,3.433,15.00,50.0,2.67
46.00,-5883.19,134.69,45.73,3.414,20.00,50.0,2.81
47.00,-5880.76,137.06,45.77,3.396,20.00,50.0,2.95
48.00,-5878.34,139.42,45.83,3.378,20.00,50.0,3.08
49.00,-5875.93,141.76,45.88,3.360,20.00,50.0,3.20
50.00,-5873.53,144.09,45.94,3.343,20.00,50.0,3.33
51.00,-5871.14,146.40,45.99,3.326,20.00,50.0,3.44
52.00,-5868.76,148.70,46.05,3.310,20.00,50.0,3.56
53.00,-5866.39,150.99,46.11,3.294,20.00,50.0,3.67
54.00,-5864.03,153.26,46.18,3.278,20.00,50.0,3.77
