time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
6.00,-5993.70,24.84,45.00,4.604,0.00,40.0,0.00
7.00,-5990.48,28.06,45.00,4.552,0.00,40.0,0.00
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.91,43.63,45.00,4.307,0.00,40.0,0.00
13.00,-5971.90,46.64,45.00,4.261,0.00,40.0,0.00
14.00,-5968.92,49.62,45.00,4.216,0.00,40.0,0.00
15.00,-5965.97,52.57,45.00,4.171,0.00,40.0,0.00
16.00,-5963.04,55.50,45.00,4.138,5.00,50.0,0.06
17.00,-5960.14,58.40,45.00,4.105,5.00,50.0,0.11
18.00,-5957.26,61.28,45.01,4.073,5.00,50.0,0.17
19.00,-5954.40,64.14,45.01,4.042,5.00,50.0,0.22
20.00,-5951.56,66.98,45.01,4.011,5.00,50.0,0.27
21.00,-5948.75,69.79,45.02,3.981,5.00,50.0,0.32
22.00,-5945.95,72.58,45.02,3.951,5.00,50.0,0.36
23.00,-5943.18,75.35,45.03,3.922,5.00,50.0,0.41
24.00,-5940.43,78.11,45.04,3.894,5.00,50.0,0.45
25.00,-5937.69,80.84,45.05,3.866,5.00,50.0,0.49
26.00,-5934.97,83.55,45.06,3.838,5.00,50.0,0.53
27.00,-5932.28,86.24,45.07,3.812,5.00,50.0,0.57
28.00,-5929.60,88.92,45.08,3.785,5.00,50.0,0.61
29.00,-5926.93,91.57,45.09,3.760,5.00,50.0,0.65
30.00,-5924.29,94.21,45.10,3.734,5.00,50.0,0.68
31.00,-5921.66,96.83,45.11,3.710,5.00,50.0,0.72
32.00,-5919.05,99.43,45.12,3.686,5.00,50.0,0.75
33.00,-5916.46,102.01,45.14,3.662,5.00,50.0,0.78
34.00,-5913.88,104.58,45.15,3.639,5.00,50.0,0.81
35.00,-5911.31,107.13,45.16,3.616,10.00,50.0,0.90
36.00,-5908.76,109.66,45.18,3.594,10.00,50.0,0.99
37.00,-5906.23,112.18,45.20,3.572,10.00,50.0,1.07
38.00,-5903.71,114.68,45.22,3.550,10.00,50.0,1.15
39.00,-5901.21,117.17,45.24,3.529,10.00,50.0,1.22
40.00,-5898.72,119.64,45.26,3.509,10.00,50.0,1.30
41.00,-5896.24,122.09,45.28,3.488,10.00,50.0,1.37
42.00,-5893.77,124.53,45.31,3.469,10.00,50.0,1.44
43.00,-5891.32,126.96,45.33,3.449,10.00,50.0,1.50
44.00,-5888.88,129.37,45.36,3.430,10.00,50.0,1.57
45.00,-5886.45,131.77,45.38,3.412,10.00,50.0,1.63
46.00,-5884.04,134.15,45.41,3.393,10.00,50.0,1.69
47.00,-5881.63,136.52,45.44,3.376,10.00,50.0,1.75
48.00,-5879.24,138.88,45.47,3.358,10.00,50.0,1.80
49.00,-5876.86,141.22,45.50,3.341,15.00,50.0,1.91
50.00,-5874.49,143.55,45.54,3.324,15.00,50.0,2.02
51.00,-5872.13,145.87,45.57,3.308,15.00,50.0,2.13
52.00,-5869.78,148.17,45.61,3.291,15.00,50.0,2.23
53.00,-5867.44,150.46,45.65,3.276,15.00,50.0,2.32
54.00,-5865.11,152.74,45.69,3.260,15.00,50.0,2.42
